parent_id,parent_name,student_id,institute_id
300096,Kritika Sen,100096,1
300097,Raj Joshi,100097,1
300098,Tushar Kapoor,100098,1
300099,Vikash Mittal,100099,1
300100,Vinay Varma,100100,1
300101,Manisha Hussain,100101,1
300102,Pooja Pandey,100102,1
300103,Devesh Singh,100103,1
300104,Sneha Gupta,100104,1
300105,Rekha Shah,100105,1
300106,Sagar Chopra,100106,1
300107,Urmila Nair,100107,1
300108,Vinay Sharma,100108,1
300109,Aanya Varma,100109,1
300110,Sanjay Joshi,100110,1
300111,Rajesh Gupta,100111,1
300112,Nikhil Varma,100112,1
300113,Aman Mukherjee,100113,1
300114,Rohan Ahmed,100114,1
300115,Meera Pandey,100115,1
300116,Rashmi Verma,100116,1
300117,Sneha Prasad,100117,1
300118,Rajesh Tiwari,100118,1
300119,Sneha Varma,100119,1
300120,Rahul Prasad,100120,1
300121,Advik Mehta,100121,1
300122,Aarav Jain,100122,1
300123,Manish Chowdhury,100123,1
300124,Kritika Chopra,100124,1
300125,Devesh Ahmed,100125,1
300126,Swati Agarwal,100126,1
300127,Karan Gupta,100127,1
300128,Akash Tiwari,100128,1
300129,Karan Mishra,100129,1
300130,Meera Chowdhury,100130,1
300131,Arjun Chandra,100131,1
300132,Asha Jain,100132,1
300133,Deepika Hussain,100133,1
300134,Aishwarya Das,100134,1
300135,Tushar Chakraborty,100135,1
300136,Vinay Mukherjee,100136,1
300137,Meera Pandey,100137,1
300138,Kritika Verma,100138,1
300139,Shweta Joshi,100139,1
300140,Pradeep Sen,100140,1
300141,Akshay Varma,100141,1
300142,Anuj Kumar,100142,1
300143,Sidharth Singh,100143,1
300144,Aarav Sastry,100144,1
300145,Sanjay Nair,100145,1
300146,Sidharth Patel,100146,1
300147,Kiara Chandra,100147,1
300148,Seema Tiwari,100148,1
300149,Aparna Bansal,100149,1
300150,Arjun Mehta,100150,1
300151,Rani Das,100151,1
300152,Hemant Iyer,100152,1
300153,Aman Mittal,100153,1
300154,Divya Naidu,100154,1
300155,Uma Varma,100155,1
300156,Aryan Ghosh,100156,1
300157,Dinesh Shah,100157,1
300158,Advik Ghosh,100158,1
300159,Kartik Sharma,100159,1
300160,Kavita Chakraborty,100160,1
300161,Priya Goel,100161,1
300162,Vikash Verma,100162,1
300163,Riya Kapoor,100163,1
300164,Rajesh Bose,100164,1
300165,Sonal Mishra,100165,1
300166,Sagar Mittal,100166,1
300167,Archana Singh,100167,1
300168,Preeti Pillai,100168,1
300169,Krishna Arora,100169,1
300170,Garima Sinha,100170,1
300171,Sunita Sinha,100171,1
300172,Sunita Pillai,100172,1
300173,Ankur Singh,100173,1
300174,Ankit Mehta,100174,1
300175,Akash Gupta,100175,1
300176,Lakshmi Kumar,100176,1
300177,Kartik Mehta,100177,1
300178,Rashmi Iyer,100178,1
300179,Gaurav Ahmed,100179,1
300180,Sneha Kapoor,100180,1
300181,Dhruv Yadav,100181,1
300182,Pallavi Sinha,100182,1
300183,Preeti Agarwal,100183,1
300184,Avinash Bose,100184,1
300185,Ritu Tiwari,100185,1
300186,Ashish Pandey,100186,1
300187,Ashish Malhotra,100187,1
300188,Shreya Bansal,100188,1
300189,Akshay Mukherjee,100189,1
300190,Prachi Sharma,100190,1
300191,Karan Kumar,100191,1
300192,Ankur Hussain,100192,1
300193,Yash Yadav,100193,1
300194,Urmila Agarwal,100194,1
300195,Lakshmi Mukherjee,100195,1
300196,Aidan Sharma,100196,1
300197,Kritika Chakraborty,100197,1
300198,Girish Bansal,100198,1
300199,Anand Tiwari,100199,1
300200,Sakshi Roy,100200,1
300201,Swati Goel,100201,1
300202,Madhuri Reddy,100202,1
300203,Aadhya Yadav,100203,1
300204,Pallavi Mishra,100204,1
300205,Asha Mittal,100205,1
300206,Aryan Menon,100206,1
300207,Akshay Bansal,100207,1
300208,Sneha Sharma,100208,1
300209,Vinay Ali,100209,1
300210,Radha Kapoor,100210,1
300211,Devesh Nair,100211,1
300212,Kartik Rao,100212,1
300213,Sunita Malhotra,100213,1
300214,Manisha Yadav,100214,1
300215,Rashmi Chandra,100215,1
300216,Meera Tiwari,100216,1
300217,Aidan Chandra,100217,1
300218,Vidya Shah,100218,1
300219,Shreya Bhattacharya,100219,1
300220,Neha Shah,100220,1
300221,Sidharth Naidu,100221,1
300222,Sanjay Naidu,100222,1
300223,Tushar Joshi,100223,1
300224,Kunal Roy,100224,1
300225,Anjali Joshi,100225,1
300226,Sanjay Gupta,100226,1
300227,Krishna Chandra,100227,1
300228,Akash Roy,100228,1
300229,Aadhya Pillai,100229,1
300230,Kavita Agarwal,100230,1
300231,Karan Jain,100231,1
300232,Neha Bose,100232,1
300233,Amit Khan,100233,1
300234,Deepika Ahmed,100234,1
300235,Rohit Chandra,100235,1
300236,Krishna Mehta,100236,1
300237,Shreyas Yadav,100237,1
300238,Ankur Rao,100238,1
300239,Riya Iyer,100239,1
300240,Karan Tiwari,100240,1
300241,Garima Bhattacharya,100241,1
300242,Manisha Pandey,100242,1
300243,Ankur Ansari,100243,1
300244,Karan Jain,100244,1
300245,Tanvi Arora,100245,1
300246,Nikita Verma,100246,1
300247,Uma Rao,100247,1
300248,Swati Malhotra,100248,1
300249,Riya Patel,100249,1
300250,Tushar Das,100250,1
300251,Sonal Naidu,100251,1
300252,Shreya Yadav,100252,1
300253,Shreya Menon,100253,1
300254,Shreya Sharma,100254,1
300255,Hemant Menon,100255,1
300256,Girish Jain,100256,1
300257,Lakshmi Chandra,100257,1
300258,Bhavana Prasad,100258,1
300259,Ananya Hussain,100259,1
300260,Bhavana Iyer,100260,1
300261,Sanjay Hussain,100261,1
300262,Ananya Verma,100262,1
300263,Kartik Varma,100263,1
300264,Nikhil Sinha,100264,1
300265,Krishna Bhattacharya,100265,1
300266,Nisha Mishra,100266,1
300267,Ankit Ali,100267,1
300268,Anuj Kapoor,100268,1
300269,Vikash Ali,100269,1
300270,Bhavana Mehta,100270,1
300271,Kunal Rao,100271,1
300272,Preeti Agarwal,100272,1
300273,Vidya Chowdhury,100273,1
300274,Ankit Kumar,100274,1
300275,Aryan Sinha,100275,1
300276,Tushar Patel,100276,1
300277,Dhruv Patel,100277,1
300278,Aanya Bose,100278,1
300279,Rashmi Singh,100279,1
300280,Kunal Iyer,100280,1
300281,Garima Aggarwal,100281,1
300282,Vidya Naidu,100282,1
300283,Kavita Prasad,100283,1
300284,Rohit Bansal,100284,1
300285,Avinash Bansal,100285,1
300286,Ashish Bose,100286,1
300287,Shreyas Mukherjee,100287,1
300288,Neha Sastry,100288,1
300289,Vishal Roy,100289,1
300290,Kavita Mittal,100290,1
300291,Rani Chowdhury,100291,1
300292,Sanjay Menon,100292,1
300293,Deepika Sharma,100293,1
300294,Shreya Shah,100294,1
300295,Aadhya Chandra,100295,1
300296,Aditi Varma,100296,1
300297,Aditi Yadav,100297,1
300298,Sanjay Ahmed,100298,1
300299,Meera Agarwal,100299,1
300300,Pradeep Bose,100300,1
300301,Pradeep Khan,100301,1
300302,Sonal Kumar,100302,1
300303,Ajay Bansal,100303,1
300304,Aparna Ahmed,100304,1
300305,Shreya Khan,100305,1
300306,Kartik Hussain,100306,1
300307,Rashmi Kumar,100307,1
300308,Rani Mukherjee,100308,1
300309,Vinay Khan,100309,1
300310,Bhavana Chowdhury,100310,1
300311,Urmila Chandra,100311,1
300312,Urmila Prasad,100312,1
300313,Anjali Gupta,100313,1
300314,Deepak Chopra,100314,1
300315,Anand Sastry,100315,1
300316,Sidharth Naidu,100316,1
300317,Pooja Hussain,100317,1
300318,Hemant Ahmed,100318,1
300319,Anand Malhotra,100319,1
300320,Seema Menon,100320,1
300321,Akash Prasad,100321,1
300322,Asha Gupta,100322,1
300323,Sagar Hussain,100323,1
300324,Varsha Rao,100324,1
300325,Avinash Pandey,100325,1
300326,Anuj Das,100326,1
300327,Bhavana Rao,100327,1
300328,Devesh Goel,100328,1
300329,Sakshi Naidu,100329,1
300330,Kritika Arora,100330,1
300331,Rohit Chakraborty,100331,1
300332,Amit Chandra,100332,1
300333,Aditya Sastry,100333,1
300334,Dhruv Gupta,100334,1
300335,Aarav Reddy,100335,1
300336,Uma Dutta,100336,1
300337,Nikhil Malhotra,100337,1
300338,Kavya Kapoor,100338,1
300339,Sonal Yadav,100339,1
300340,Vidya Sen,100340,1
300341,Aman Das,100341,1
300342,Aishwarya Nair,100342,1
300343,Vinay Verma,100343,1
300344,Tushar Tiwari,100344,1
300345,Ankit Roy,100345,1
300346,Akash Sinha,100346,1
300347,Aanya Mehta,100347,1
300348,Madhuri Nair,100348,1
300349,Anjali Chopra,100349,1
300350,Anjali Dutta,100350,1
300351,Tushar Prasad,100351,1
300352,Rashmi Prasad,100352,1
300353,Varun Chowdhury,100353,1
300354,Vishal Mukherjee,100354,1
300355,Aparna Sharma,100355,1
300356,Nikhil Menon,100356,1
300357,Kavya Mishra,100357,1
300358,Arjun Kapoor,100358,1
300359,Seema Sastry,100359,1
300360,Harsh Roy,100360,1
300361,Vinay Prasad,100361,1
300362,Pradeep Kumar,100362,1
300363,Varsha Ali,100363,1
300364,Vikash Mukherjee,100364,1
300365,Kartik Ahmed,100365,1
300366,Anand Gupta,100366,1
300367,Sonal Mehta,100367,1
300368,Riya Mukherjee,100368,1
300369,Kritika Sharma,100369,1
300370,Advik Ansari,100370,1
300371,Varun Sinha,100371,1
300372,Manisha Naidu,100372,1
300373,Vikash Mukherjee,100373,1
300374,Raj Ansari,100374,1
300375,Nisha Jain,100375,1
300376,Nisha Pillai,100376,1
300377,Ankit Das,100377,1
300378,Abhishek Reddy,100378,1
300379,Kavya Mishra,100379,1
300380,Ananya Aggarwal,100380,1
300381,Amit Chandra,100381,1
300382,Gaurav Menon,100382,1
300383,Aarav Ahmed,100383,1
300384,Akash Kumar,100384,1
300385,Arjun Das,100385,1
300386,Krishna Gupta,100386,1
300387,Priya Sinha,100387,1
300388,Krishna Jain,100388,1
300389,Simran Sastry,100389,1
300390,Akshay Kumar,100390,1
300391,Karan Dutta,100391,1
300392,Sidharth Khan,100392,1
300393,Kritika Das,100393,1
300394,Radha Ansari,100394,1
300395,Aparna Aggarwal,100395,1
300396,Pooja Chowdhury,100396,1
300397,Akash Yadav,100397,1
300398,Pallavi Prasad,100398,1
300399,Meera Verma,100399,1
300400,Arjun Chakraborty,100400,1
300401,Kunal Ali,100401,1
300402,Ankit Reddy,100402,1
300403,Aidan Aggarwal,100403,1
300404,Aparna Hussain,100404,1
300405,Asha Sharma,100405,1
300406,Aditi Mittal,100406,1
300407,Urmila Nair,100407,1
300408,Anushka Singh,100408,1
300409,Vidya Nair,100409,1
300410,Aanya Nair,100410,1
300411,Sakshi Gupta,100411,1
300412,Dhruv Nair,100412,1
300413,Akshay Pillai,100413,1
300414,Akshay Tiwari,100414,1
300415,Varun Hussain,100415,1
300416,Aanya Sinha,100416,1
300417,Madhuri Hussain,100417,1
300418,Girish Sharma,100418,1
300419,Preeti Prasad,100419,1
300420,Riya Ahmed,100420,1
300421,Anand Sen,100421,1
300422,Preeti Naidu,100422,1
300423,Swati Ghosh,100423,1
300424,Uma Ahmed,100424,1
300425,Divya Nair,100425,1
300426,Ritu Aggarwal,100426,1
300427,Aarav Mittal,100427,1
300428,Anushka Aggarwal,100428,1
300429,Prachi Bhattacharya,100429,1
300430,Aditi Prasad,100430,1
300431,Radha Mittal,100431,1
300432,Aparna Ansari,100432,1
300433,Ankit Tiwari,100433,1
300434,Madhuri Malhotra,100434,1
300435,Shreya Sharma,100435,1
300436,Aadhya Ghosh,100436,1
300437,Pradeep Mukherjee,100437,1
300438,Rohan Singh,100438,1
300439,Kartik Prasad,100439,1
300440,Anjali Das,100440,1
300441,Karan Ansari,100441,1
300442,Madhuri Roy,100442,1
300443,Gaurav Rao,100443,1
300444,Aryan Prasad,100444,1
300445,Gaurav Shah,100445,1
300446,Avinash Naidu,100446,1
300447,Urmila Pandey,100447,1
300448,Vikash Khan,100448,1
300449,Akash Khan,100449,1
300450,Madhuri Sharma,100450,1
300451,Swati Khan,100451,1
300452,Yash Aggarwal,100452,1
300453,Archana Kumar,100453,1
300454,Asha Bose,100454,1
300455,Harsh Kapoor,100455,1
300456,Uma Reddy,100456,1
300457,Anjali Varma,100457,1
300458,Neha Bansal,100458,1
300459,Manish Sinha,100459,1
300460,Prachi Menon,100460,1
300461,Simran Joshi,100461,1
300462,Ashish Reddy,100462,1
300463,Krishna Bansal,100463,1
300464,Anand Sinha,100464,1
300465,Manish Bose,100465,1
300466,Kiara Nair,100466,1
300467,Akshay Ahmed,100467,1
300468,Raj Hussain,100468,1
300469,Aman Mehta,100469,1
300470,Swati Ahmed,100470,1
300471,Tushar Singh,100471,1
300472,Kavita Chakraborty,100472,1
300473,Pooja Mittal,100473,1
300474,Vinay Joshi,100474,1
300475,Nikhil Aggarwal,100475,1
300476,Kritika Ghosh,100476,1
300477,Ritu Shah,100477,1
300478,Sagar Ahmed,100478,1
300479,Radha Verma,100479,1
300480,Tanvi Bose,100480,1
300481,Rahul Varma,100481,1
300482,Varsha Mehta,100482,1
300483,Rekha Mehta,100483,1
300484,Varun Aggarwal,100484,1
300485,Manisha Chandra,100485,1
300486,Yash Goel,100486,1
300487,Prachi Pandey,100487,1
300488,Amit Menon,100488,1
300489,Sonal Bansal,100489,1
300490,Aishwarya Ansari,100490,1
300491,Avinash Ghosh,100491,1
300492,Ashish Shah,100492,1
300493,Madhuri Hussain,100493,1
300494,Ritu Patel,100494,1
300495,Aidan Pillai,100495,1
300496,Anuj Chopra,100496,1
300497,Arjun Bose,100497,1
300498,Riya Yadav,100498,1
300499,Rajesh Chowdhury,100499,1
300500,Atul Joshi,100500,1
300501,Nikhil Mishra,100501,1
300502,Deepak Gupta,100502,1
300503,Dinesh Yadav,100503,1
300504,Rekha Rao,100504,1
300505,Ritu Pillai,100505,1
300506,Seema Mukherjee,100506,1
300507,Deepak Malhotra,100507,1
300508,Aryan Agarwal,100508,1
300509,Manisha Varma,100509,1
300510,Rani Pandey,100510,1
300511,Garima Bose,100511,1
300512,Shweta Patel,100512,1
300513,Kunal Roy,100513,1
300514,Ananya Bhattacharya,100514,1
300515,Neha Pandey,100515,1
300516,Pooja Hussain,100516,1
300517,Aryan Gupta,100517,1
300518,Rohit Chakraborty,100518,1
300519,Uma Prasad,100519,1
300520,Archana Yadav,100520,1
300521,Divya Shah,100521,1
300522,Meera Roy,100522,1
300523,Kritika Chopra,100523,1
300524,Madhuri Sinha,100524,1
300525,Gaurav Sastry,100525,1
300526,Deepika Patel,100526,1
300527,Vikash Bose,100527,1
300528,Advik Sinha,100528,1
300529,Varun Dutta,100529,1
300530,Aarav Roy,100530,1
300531,Rahul Kapoor,100531,1
300532,Uma Pillai,100532,1
300533,Sunita Jain,100533,1
300534,Neha Shah,100534,1
300535,Sagar Pillai,100535,1
300536,Madhuri Verma,100536,1
300537,Kartik Ahmed,100537,1
300538,Pradeep Verma,100538,1
300539,Deepak Kumar,100539,1
300540,Divya Bose,100540,1
300541,Meera Ghosh,100541,1
300542,Atul Chowdhury,100542,1
300543,Aditi Pillai,100543,1
300544,Atul Chakraborty,100544,1
300545,Kavya Sen,100545,1
300546,Aditya Rao,100546,1
300547,Harsh Jain,100547,1
300548,Kritika Naidu,100548,1
300549,Karan Mukherjee,100549,1
300550,Sidharth Malhotra,100550,1
300551,Neha Jain,100551,1
300552,Aditya Verma,100552,1
300553,Aarav Pillai,100553,1
300554,Sidharth Sen,100554,1
300555,Atul Malhotra,100555,1
300556,Rohan Chowdhury,100556,1
300557,Vidya Nair,100557,1
300558,Aditya Yadav,100558,1
300559,Sunita Sastry,100559,1
300560,Kunal Mehta,100560,1
300561,Kavita Roy,100561,1
300562,Aishwarya Iyer,100562,1
300563,Swati Mukherjee,100563,1
300564,Archana Mehta,100564,1
300565,Girish Hussain,100565,1
300566,Rekha Das,100566,1
300567,Lakshmi Sastry,100567,1
300568,Asha Malhotra,100568,1
300569,Pooja Sastry,100569,1
300570,Pradeep Chowdhury,100570,1
300571,Pallavi Jain,100571,1
300572,Sneha Sinha,100572,1
300573,Manisha Aggarwal,100573,1
300574,Krishna Mittal,100574,1
300575,Rohan Singh,100575,1
300576,Madhuri Naidu,100576,1
300577,Rekha Iyer,100577,1
300578,Riya Iyer,100578,1
300579,Ananya Mittal,100579,1
300580,Preeti Mehta,100580,1
300581,Aishwarya Gupta,100581,1
300582,Sakshi Menon,100582,1
300583,Vinay Chopra,100583,1
300584,Hemant Rao,100584,1
300585,Abhishek Prasad,100585,1
300586,Bhavana Sinha,100586,1
300587,Deepak Sharma,100587,1
300588,Anushka Ansari,100588,1
300589,Priya Ansari,100589,1
300590,Ajay Singh,100590,1
300591,Rahul Dutta,100591,1
300592,Ashish Dutta,100592,1
300593,Pallavi Mehta,100593,1
300594,Divya Reddy,100594,1
300595,Rekha Kapoor,100595,1
300596,Aarav Gupta,100596,1
300597,Girish Chakraborty,100597,1
300598,Suresh Iyer,100598,1
300599,Aditi Chopra,100599,1
300600,Nikita Sharma,100600,1
300601,Aditya Ansari,100601,1
300602,Aidan Mittal,100602,1
300603,Raj Varma,100603,1
300604,Bhavana Ali,100604,1
300605,Anushka Kumar,100605,1
300606,Suresh Ahmed,100606,1
300607,Aanya Agarwal,100607,1
300608,Anand Ali,100608,1
300609,Kavya Sinha,100609,1
300610,Pooja Pillai,100610,1
300611,Kunal Mittal,100611,1
300612,Kavya Patel,100612,1
300613,Aparna Bhattacharya,100613,1
300614,Rani Joshi,100614,1
300615,Anushka Mehta,100615,1
300616,Tanvi Mittal,100616,1
300617,Neha Chowdhury,100617,1
300618,Raj Sharma,100618,1
300619,Preeti Iyer,100619,1
300620,Seema Dutta,100620,1
300621,Sagar Mehta,100621,1
300622,Rajesh Ansari,100622,1
300623,Sagar Reddy,100623,1
300624,Uma Patel,100624,1
300625,Prachi Bansal,100625,1
300626,Anand Sen,100626,1
300627,Dhruv Roy,100627,1
300628,Amit Bansal,100628,1
300629,Vidya Mukherjee,100629,1
300630,Akash Ansari,100630,1
300631,Madhuri Menon,100631,1
300632,Ritu Mishra,100632,1
300633,Aidan Pandey,100633,1
300634,Aadhya Mittal,100634,1
300635,Girish Sen,100635,1
300636,Swati Roy,100636,1
300637,Aparna Aggarwal,100637,1
300638,Shreya Khan,100638,1
300639,Sonal Sen,100639,1
300640,Anand Pillai,100640,1
300641,Raj Jain,100641,1
300642,Ashish Chakraborty,100642,1
300643,Ashish Arora,100643,1
300644,Asha Gupta,100644,1
300645,Sneha Chopra,100645,1
300646,Bhavana Ali,100646,1
300647,Rashmi Agarwal,100647,1
300648,Asha Pillai,100648,1
300649,Preeti Naidu,100649,1
300650,Sunita Pandey,100650,1
300651,Uma Varma,100651,1
300652,Aryan Joshi,100652,1
300653,Abhishek Khan,100653,1
300654,Sunita Sinha,100654,1
300655,Simran Ghosh,100655,1
300656,Nikhil Ali,100656,1
300657,Ashish Chakraborty,100657,1
300658,Aadhya Pandey,100658,1
300659,Garima Bansal,100659,1
300660,Anjali Agarwal,100660,1
300661,Nisha Arora,100661,1
300662,Anuj Patel,100662,1
300663,Prachi Patel,100663,1
300664,Abhishek Ghosh,100664,1
300665,Aman Yadav,100665,1
300666,Pradeep Rao,100666,1
300667,Devesh Mittal,100667,1
300668,Riya Chandra,100668,1
300669,Radha Prasad,100669,1
300670,Madhuri Sen,100670,1
300671,Aman Chandra,100671,1
300672,Anand Ahmed,100672,1
300673,Kartik Malhotra,100673,1
300674,Uma Patel,100674,1
300675,Tushar Chandra,100675,1
300676,Prachi Bhattacharya,100676,1
300677,Ritu Prasad,100677,1
300678,Kiara Chopra,100678,1
300679,Gaurav Kapoor,100679,1
300680,Abhishek Bansal,100680,1
300681,Ashish Mukherjee,100681,1
300682,Manish Kumar,100682,1
300683,Arjun Bose,100683,1
300684,Riya Sastry,100684,1
300685,Pooja Tiwari,100685,1
300686,Harsh Sen,100686,1
300687,Rani Ansari,100687,1
300688,Pallavi Mukherjee,100688,1
300689,Nikita Chakraborty,100689,1
300690,Sunita Verma,100690,1
300691,Ashish Rao,100691,1
300692,Pallavi Bansal,100692,1
300693,Tanvi Das,100693,1
300694,Nisha Goel,100694,1
300695,Vikash Pillai,100695,1
300696,Garima Sharma,100696,1
300697,Shreya Ansari,100697,1
300698,Preeti Pillai,100698,1
300699,Abhishek Sen,100699,1
300700,Raj Reddy,100700,1
300701,Dinesh Agarwal,100701,1
300702,Sagar Reddy,100702,1
300703,Aarav Chandra,100703,1
300704,Prachi Patel,100704,1
300705,Madhuri Bose,100705,1
300706,Yash Mittal,100706,1
300707,Ajay Mittal,100707,1
300708,Rashmi Gupta,100708,1
300709,Meera Rao,100709,1
300710,Vinay Sharma,100710,1
300711,Varsha Rao,100711,1
300712,Sneha Malhotra,100712,1
300713,Ritu Varma,100713,1
300714,Aidan Reddy,100714,1
300715,Abhishek Khan,100715,1
300716,Atul Ali,100716,1
300717,Arjun Verma,100717,1
300718,Asha Singh,100718,1
300719,Aishwarya Khan,100719,1
300720,Manish Patel,100720,1
300721,Kavya Varma,100721,1
300722,Nikhil Naidu,100722,1
300723,Pallavi Chopra,100723,1
300724,Sunita Agarwal,100724,1
300725,Rekha Sastry,100725,1
300726,Aman Arora,100726,1
300727,Deepak Mittal,100727,1
300728,Avinash Das,100728,1
300729,Kartik Sinha,100729,1
300730,Anuj Bose,100730,1
300731,Garima Rao,100731,1
300732,Kunal Mittal,100732,1
300733,Asha Mishra,100733,1
300734,Uma Chowdhury,100734,1
300735,Vinay Ghosh,100735,1
300736,Ankit Verma,100736,1
300737,Deepak Verma,100737,1
300738,Manish Chandra,100738,1
300739,Hemant Chopra,100739,1
300740,Dhruv Rao,100740,1
300741,Shreya Verma,100741,1
300742,Kunal Naidu,100742,1
300743,Dinesh Hussain,100743,1
300744,Kunal Singh,100744,1
300745,Pallavi Joshi,100745,1
300746,Kartik Jain,100746,1
300747,Rekha Mehta,100747,1
300748,Kartik Arora,100748,1
300749,Krishna Goel,100749,1
300750,Madhuri Verma,100750,1
300751,Priya Chandra,100751,1
300752,Priya Ansari,100752,1
300753,Aishwarya Naidu,100753,1
300754,Aidan Chandra,100754,1
300755,Deepika Dutta,100755,1
300756,Anuj Pillai,100756,1
300757,Aparna Naidu,100757,1
300758,Kiara Mishra,100758,1
300759,Anushka Bose,100759,1
300760,Karan Kapoor,100760,1
300761,Madhuri Gupta,100761,1
300762,Tushar Sastry,100762,1
300763,Shreyas Jain,100763,1
300764,Urmila Pandey,100764,1
300765,Uma Nair,100765,1
300766,Manish Chowdhury,100766,1
300767,Aditya Yadav,100767,1
300768,Ashish Menon,100768,1
300769,Prachi Mishra,100769,1
300770,Avinash Yadav,100770,1
300771,Divya Ghosh,100771,1
300772,Girish Sharma,100772,1
300773,Vidya Ghosh,100773,1
300774,Preeti Iyer,100774,1
300775,Lakshmi Goel,100775,1
300776,Varsha Mishra,100776,1
300777,Manisha Iyer,100777,1
300778,Aditi Mehta,100778,1
300779,Rohan Pillai,100779,1
300780,Uma Iyer,100780,1
300781,Ashish Bose,100781,1
300782,Kunal Sinha,100782,1
300783,Vinay Hussain,100783,1
300784,Arjun Sastry,100784,1
300785,Ananya Verma,100785,1
300786,Shweta Bansal,100786,1
300787,Shreya Iyer,100787,1
300788,Sanjay Agarwal,100788,1
300789,Devesh Malhotra,100789,1
300790,Nikita Verma,100790,1
300791,Harsh Kapoor,100791,1
300792,Anushka Ahmed,100792,1
300793,Aryan Naidu,100793,1
300794,Aadhya Mukherjee,100794,1
300795,Pradeep Patel,100795,1
300796,Tanvi Naidu,100796,1
300797,Nisha Kapoor,100797,1
300798,Kavita Nair,100798,1
300799,Pallavi Aggarwal,100799,1
300800,Raj Jain,100800,1
300801,Seema Jain,100801,1
300802,Shweta Pandey,100802,1
300803,Manisha Ahmed,100803,1
300804,Varsha Iyer,100804,1
300805,Pradeep Roy,100805,1
300806,Gaurav Sinha,100806,1
300807,Hemant Aggarwal,100807,1
300808,Radha Mishra,100808,1
300809,Abhishek Sinha,100809,1
300810,Anjali Varma,100810,1
300811,Arjun Roy,100811,1
300812,Aidan Kapoor,100812,1
300813,Riya Verma,100813,1
300814,Rani Varma,100814,1
300815,Rohit Bansal,100815,1
300816,Nikita Nair,100816,1
300817,Aditi Goel,100817,1
300818,Garima Chopra,100818,1
300819,Manisha Chakraborty,100819,1
300820,Sanjay Verma,100820,1
300821,Manisha Ahmed,100821,1
300822,Ajay Iyer,100822,1
300823,Ashish Pandey,100823,1
300824,Vinay Bose,100824,1
