activity_id,student_id,activity_name,participation_level,start_date,performance_rating,achievements,attendance_percentage,instructor
ACT_INST_002_000028,STU_INST_002_0028,Quiz,Intermediate,2024-10-19,Excellent,,97,Rajesh Joshi
ACT_INST_002_000029,STU_INST_002_0028,Dance,Advanced,2025-07-14,Good,,71,Vivaan Thakkar
ACT_INST_002_000030,STU_INST_002_0030,Basketball,Beginner,2025-08-02,Very Good,,97,Veer Bhatt
ACT_INST_002_000031,STU_INST_002_0030,Badminton,Advanced,2025-03-20,Needs Improvement,School Level Winner,95,Kiara Sharma
ACT_INST_002_000032,STU_INST_002_0032,Environmental Club,Intermediate,2025-04-17,Excellent,,98,Om Jindal
ACT_INST_002_000033,STU_INST_002_0032,Cricket,Beginner,2025-07-13,Needs Improvement,School Level Winner,99,Arjit Sarkar
ACT_INST_002_000034,STU_INST_002_0032,Dance,Intermediate,2024-12-23,Good,,90,Avni Gowda
ACT_INST_002_000035,STU_INST_002_0036,Literary Society,Intermediate,2025-01-13,Average,,82,Ayaan Thakkar
ACT_INST_002_000036,STU_INST_002_0037,Music,Advanced,2025-02-25,Needs Improvement,,97,Anil Vyas
ACT_INST_002_000037,STU_INST_002_0037,Literary Society,Advanced,2024-10-22,Needs Improvement,State Level Qualifier,81,Aadhya Nair
ACT_INST_002_000038,STU_INST_002_0038,Yoga,Beginner,2025-03-02,Very Good,,91,Veer Venkatesh
ACT_INST_002_000039,STU_INST_002_0038,Debate,Intermediate,2025-04-01,Good,,96,Aarav Chowdhury
ACT_INST_002_000040,STU_INST_002_0038,Drama,Intermediate,2025-03-12,Good,,96,Ishika Shah
ACT_INST_002_000041,STU_INST_002_0049,Environmental Club,Advanced,2024-12-31,Very Good,,75,Reyansh Mukherjee
ACT_INST_002_000042,STU_INST_002_0049,Cultural Committee,Advanced,2025-04-14,Very Good,,85,Aditi Bhardwaj
ACT_INST_002_000043,STU_INST_002_0050,Cultural Committee,Beginner,2025-01-23,Very Good,,83,Shalini Shah
ACT_INST_002_000044,STU_INST_002_0051,Debate,Beginner,2024-09-17,Good,District Level Participant,99,Advait Bhatt
ACT_INST_002_000045,STU_INST_002_0051,Quiz,Beginner,2025-01-24,Good,,72,Anjali Menon
ACT_INST_002_000046,STU_INST_002_0052,Science Club,Intermediate,2025-05-21,Good,,93,Pooja Dutta
ACT_INST_002_000047,STU_INST_002_0052,Quiz,Intermediate,2024-10-06,Good,District Level Participant,95,Rajesh Jindal
ACT_INST_002_000048,STU_INST_002_0052,Dance,Intermediate,2025-08-09,Needs Improvement,,70,Sai Mondal
ACT_INST_002_000049,STU_INST_002_0053,Yoga,Beginner,2025-07-06,Needs Improvement,,70,Ankit Tiwari
ACT_INST_002_000050,STU_INST_002_0053,Football,Beginner,2024-09-24,Needs Improvement,Certificate of Participation,87,Kriti Sethi
ACT_INST_002_000051,STU_INST_002_0054,Badminton,Intermediate,2024-12-25,Good,,91,Riyansh Bhardwaj
ACT_INST_002_000052,STU_INST_002_0054,Basketball,Beginner,2025-01-07,Needs Improvement,District Level Participant,82,Abhishek Bansal
ACT_INST_002_000053,STU_INST_002_0054,Karate,Advanced,2024-10-31,Very Good,,98,Zara Kamath
ACT_INST_002_000054,STU_INST_002_0055,Athletics,Intermediate,2025-07-21,Needs Improvement,,80,Arya Jindal
ACT_INST_002_000055,STU_INST_002_0055,Art & Craft,Advanced,2024-10-02,Excellent,,85,Manisha Jadhav
ACT_INST_002_000056,STU_INST_002_0055,Football,Beginner,2025-01-18,Needs Improvement,,71,Vihaan Panchal
ACT_INST_002_000057,STU_INST_002_0056,Cricket,Intermediate,2025-08-16,Good,,93,Yash Mukherjee
ACT_INST_002_000058,STU_INST_002_0056,Debate,Advanced,2025-07-08,Needs Improvement,,90,Saanvi Parikh
ACT_INST_002_000059,STU_INST_002_0058,Music,Beginner,2025-07-04,Average,District Level Participant,90,Maya Chaturvedi
ACT_INST_002_000060,STU_INST_002_0058,Karate,Intermediate,2024-11-08,Very Good,,98,Vivaan Mondal
ACT_INST_002_000061,STU_INST_002_0059,Yoga,Advanced,2025-02-26,Needs Improvement,,89,Aarav Thakkar
ACT_INST_002_000062,STU_INST_002_0059,Environmental Club,Beginner,2024-12-14,Needs Improvement,,76,Aryan Vyas
ACT_INST_002_000063,STU_INST_002_0059,Karate,Advanced,2024-12-13,Excellent,,86,Shreya Nair
ACT_INST_002_000064,STU_INST_002_0061,Table Tennis,Advanced,2025-02-21,Very Good,,98,Kiara Khanna
ACT_INST_002_000065,STU_INST_002_0065,Art & Craft,Intermediate,2024-12-11,Needs Improvement,,89,Aditya Thakkar
ACT_INST_002_000066,STU_INST_002_0065,Drama,Intermediate,2025-05-29,Excellent,School Level Winner,85,Manisha Aggarwal
ACT_INST_002_000067,STU_INST_002_0068,Badminton,Intermediate,2025-02-15,Needs Improvement,,85,Advik Modi
ACT_INST_002_000068,STU_INST_002_0068,Literary Society,Intermediate,2025-06-04,Excellent,,97,Nidhi Parikh
ACT_INST_002_000069,STU_INST_002_0070,Environmental Club,Intermediate,2025-06-13,Average,State Level Qualifier,73,Yash Dave
ACT_INST_002_000070,STU_INST_002_0071,Badminton,Advanced,2025-06-25,Good,,77,Deepak Panchal
ACT_INST_002_000071,STU_INST_002_0075,Art & Craft,Advanced,2024-10-12,Excellent,,99,Manisha Jadhav
ACT_INST_002_000072,STU_INST_002_0075,Music,Advanced,2024-11-27,Very Good,,85,Neha Sarkar
ACT_INST_002_000073,STU_INST_002_0075,Football,Intermediate,2024-10-06,Needs Improvement,,96,Samar Bhat
ACT_INST_002_000074,STU_INST_002_0077,Athletics,Intermediate,2024-09-26,Average,,87,Akash Mathur
ACT_INST_002_000075,STU_INST_002_0077,Literary Society,Intermediate,2024-12-11,Excellent,,70,Pooja Joshi
ACT_INST_002_000076,STU_INST_002_0077,Table Tennis,Advanced,2024-09-17,Very Good,School Level Winner,92,Varun Sharma
ACT_INST_002_000077,STU_INST_002_0078,Badminton,Intermediate,2025-07-20,Good,,77,Priyanka Desai
ACT_INST_002_000078,STU_INST_002_0078,Drama,Intermediate,2025-05-14,Needs Improvement,State Level Qualifier,80,Aditya More
ACT_INST_002_000079,STU_INST_002_0079,Literary Society,Advanced,2025-03-06,Very Good,,94,Neha Rao
ACT_INST_002_000080,STU_INST_002_0079,Environmental Club,Beginner,2025-02-12,Very Good,District Level Participant,97,Vinod Mehta
ACT_INST_002_000081,STU_INST_002_0080,Music,Intermediate,2025-01-24,Average,,97,Shivansh Jadhav
ACT_INST_002_000082,STU_INST_002_0082,Badminton,Advanced,2024-11-25,Average,,71,Yogesh Pillai
ACT_INST_002_000083,STU_INST_002_0083,Music,Intermediate,2025-04-23,Very Good,School Level Winner,76,Om Dutta
ACT_INST_002_000084,STU_INST_002_0084,Karate,Intermediate,2024-12-28,Excellent,,75,Aditya Das
ACT_INST_002_000085,STU_INST_002_0086,Karate,Intermediate,2025-07-07,Excellent,,100,Laksh Ganguly
ACT_INST_002_000086,STU_INST_002_0086,Debate,Beginner,2025-03-08,Needs Improvement,,93,Nitin Saha
ACT_INST_002_000087,STU_INST_002_0086,Literary Society,Beginner,2025-07-17,Good,,71,Diya Raman
ACT_INST_002_000088,STU_INST_002_0091,Music,Intermediate,2025-05-24,Very Good,State Level Qualifier,92,Ayaan Mondal
ACT_INST_002_000089,STU_INST_002_0092,Football,Beginner,2025-05-04,Excellent,,74,Ayaan Aggarwal
ACT_INST_002_000090,STU_INST_002_0092,Literary Society,Intermediate,2025-07-16,Good,School Level Winner,74,Aarav Ghosh
ACT_INST_002_000091,STU_INST_002_0092,Quiz,Advanced,2025-04-25,Very Good,,77,Shivansh Mitra
ACT_INST_002_000092,STU_INST_002_0093,Table Tennis,Beginner,2025-03-06,Average,,79,Shivansh Subramanian
ACT_INST_002_000093,STU_INST_002_0093,Dance,Beginner,2025-01-19,Average,,84,Rudra Joshi
ACT_INST_002_000094,STU_INST_002_0094,Debate,Beginner,2024-10-28,Good,State Level Qualifier,84,Priya Desai
ACT_INST_002_000095,STU_INST_002_0094,Dance,Intermediate,2025-03-02,Average,District Level Participant,77,Rajesh Verma
ACT_INST_002_000096,STU_INST_002_0094,Debate,Intermediate,2025-06-10,Average,,74,Manoj Ghosh
ACT_INST_002_000097,STU_INST_002_0095,Badminton,Beginner,2025-05-01,Very Good,,95,Shreya Saxena
ACT_INST_002_000098,STU_INST_002_0095,Dance,Advanced,2025-05-07,Excellent,District Level Participant,99,Aadhya Jindal
ACT_INST_002_000099,STU_INST_002_0096,Debate,Advanced,2025-01-16,Needs Improvement,Certificate of Participation,89,Varun Kumar
ACT_INST_002_000100,STU_INST_002_0096,Athletics,Intermediate,2025-03-13,Good,,84,Arjit Bhattacharya
ACT_INST_002_000101,STU_INST_002_0098,Environmental Club,Intermediate,2025-01-26,Needs Improvement,,76,Vivaan Chakraborty
ACT_INST_002_000102,STU_INST_002_0100,Athletics,Beginner,2024-10-04,Needs Improvement,District Level Participant,95,Ira Pawar
ACT_INST_002_000103,STU_INST_002_0100,Environmental Club,Beginner,2025-07-09,Very Good,District Level Participant,79,Harsh Rao
ACT_INST_002_000104,STU_INST_002_0100,Literary Society,Beginner,2024-10-17,Needs Improvement,,93,Ayaan Bansal
ACT_INST_002_000105,STU_INST_002_0103,Football,Intermediate,2025-01-22,Very Good,,99,Krishna Chakraborty
ACT_INST_002_000106,STU_INST_002_0105,Basketball,Advanced,2025-07-17,Average,,90,Aditi Bhatia
ACT_INST_002_000107,STU_INST_002_0105,Karate,Advanced,2024-12-16,Average,District Level Participant,98,Yogesh Mittal
ACT_INST_002_000108,STU_INST_002_0105,Environmental Club,Intermediate,2025-03-25,Very Good,,73,Ishika Ghosh
ACT_INST_002_000109,STU_INST_002_0107,Cricket,Intermediate,2025-08-11,Very Good,Certificate of Participation,94,Aadhya Sarkar
ACT_INST_002_000110,STU_INST_002_0107,Athletics,Beginner,2025-05-12,Very Good,,84,Riyansh Reddy
ACT_INST_002_000111,STU_INST_002_0108,Debate,Advanced,2025-01-27,Average,,94,Karan Bose
ACT_INST_002_000112,STU_INST_002_0108,Music,Advanced,2025-05-26,Excellent,,87,Abhishek Bose
ACT_INST_002_000113,STU_INST_002_0108,Yoga,Beginner,2025-07-18,Good,,89,Sara Singhal
ACT_INST_002_000114,STU_INST_002_0109,Yoga,Beginner,2024-10-17,Good,,91,Vikram Malhotra
ACT_INST_002_000115,STU_INST_002_0109,Yoga,Intermediate,2025-04-03,Good,Certificate of Participation,81,Nidhi Thakkar
ACT_INST_002_000116,STU_INST_002_0109,Environmental Club,Intermediate,2025-07-04,Average,,96,Manisha Chowdhury
ACT_INST_002_000117,STU_INST_002_0110,Basketball,Beginner,2025-01-11,Good,,74,Ashish Shinde
ACT_INST_002_000118,STU_INST_002_0110,Karate,Advanced,2025-03-21,Good,,74,Avni Singhal
ACT_INST_002_000119,STU_INST_002_0110,Football,Beginner,2025-06-21,Excellent,,95,Ishaan Das
ACT_INST_002_000120,STU_INST_002_0114,Debate,Advanced,2025-04-22,Needs Improvement,,91,Shriya Pawar
ACT_INST_002_000121,STU_INST_002_0114,Art & Craft,Intermediate,2025-03-10,Needs Improvement,,88,Ashish Goyal
ACT_INST_002_000122,STU_INST_002_0115,Dance,Advanced,2025-01-12,Good,,71,Riya Bose
ACT_INST_002_000123,STU_INST_002_0115,Science Club,Beginner,2025-03-18,Excellent,Certificate of Participation,74,Vihaan Pal
ACT_INST_002_000124,STU_INST_002_0115,Environmental Club,Advanced,2025-08-02,Good,,74,Arya Banerjee
ACT_INST_002_000125,STU_INST_002_0116,Cultural Committee,Intermediate,2025-05-02,Excellent,,90,Aarav Ganguly
ACT_INST_002_000126,STU_INST_002_0118,Football,Advanced,2025-05-22,Very Good,School Level Winner,89,Nitin Singh
ACT_INST_002_000127,STU_INST_002_0119,Dance,Beginner,2024-09-24,Good,,98,Rudra Chaturvedi
ACT_INST_002_000128,STU_INST_002_0120,Table Tennis,Intermediate,2024-11-10,Excellent,,72,Aditya Kar
ACT_INST_002_000129,STU_INST_002_0120,Dance,Advanced,2025-02-23,Average,,92,Deepika Khanna
ACT_INST_002_000130,STU_INST_002_0120,Football,Intermediate,2024-12-24,Average,,72,Zara Trivedi
ACT_INST_002_000131,STU_INST_002_0122,Badminton,Advanced,2024-10-12,Needs Improvement,,92,Tanya Ganguly
ACT_INST_002_000132,STU_INST_002_0122,Badminton,Intermediate,2025-07-30,Good,,90,Tanya Arora
ACT_INST_002_000133,STU_INST_002_0122,Karate,Intermediate,2025-06-14,Average,,91,Arjun Das
ACT_INST_002_000134,STU_INST_002_0123,Cultural Committee,Advanced,2025-02-17,Good,,81,Vihaan Biswas
ACT_INST_002_000135,STU_INST_002_0123,Environmental Club,Beginner,2024-09-20,Good,,89,Shaurya Joshi
ACT_INST_002_000136,STU_INST_002_0124,Dance,Beginner,2025-01-12,Needs Improvement,,70,Vivaan Shetty
ACT_INST_002_000137,STU_INST_002_0124,Badminton,Advanced,2024-11-15,Good,,96,Vikram Kar
ACT_INST_002_000138,STU_INST_002_0125,Environmental Club,Beginner,2025-08-10,Very Good,,89,Diya Pandey
ACT_INST_002_000139,STU_INST_002_0125,Environmental Club,Beginner,2025-07-02,Average,,78,Neha Mishra
ACT_INST_002_000140,STU_INST_002_0127,Basketball,Intermediate,2025-07-09,Good,,77,Manoj Mukherjee
ACT_INST_002_000141,STU_INST_002_0127,Karate,Intermediate,2025-04-11,Average,,92,Vihaan Mitra
ACT_INST_002_000142,STU_INST_002_0127,Basketball,Beginner,2024-11-23,Good,,89,Ananya Menon
ACT_INST_002_000143,STU_INST_002_0128,Music,Advanced,2025-01-17,Needs Improvement,Certificate of Participation,100,Vihaan Goel
ACT_INST_002_000144,STU_INST_002_0129,Cultural Committee,Advanced,2025-08-16,Good,District Level Participant,71,Kavita Singhal
ACT_INST_002_000145,STU_INST_002_0130,Dance,Advanced,2025-01-09,Average,,76,Rahul Jadhav
ACT_INST_002_000146,STU_INST_002_0130,Environmental Club,Beginner,2025-02-10,Average,School Level Winner,94,Sapna Khanna
ACT_INST_002_000147,STU_INST_002_0131,Science Club,Beginner,2025-02-16,Average,,91,Tanya Goyal
ACT_INST_002_000148,STU_INST_002_0131,Environmental Club,Beginner,2025-03-22,Excellent,,79,Rahul Krishnan
ACT_INST_002_000149,STU_INST_002_0132,Cricket,Beginner,2025-03-17,Excellent,,95,Advait Biswas
ACT_INST_002_000150,STU_INST_002_0132,Dance,Beginner,2024-11-07,Very Good,,88,Myra Sharma
ACT_INST_002_000151,STU_INST_002_0135,Music,Beginner,2025-03-03,Needs Improvement,,86,Yash Bhattacharya
ACT_INST_002_000152,STU_INST_002_0135,Cricket,Beginner,2025-01-09,Average,,75,Karan Desai
ACT_INST_002_000153,STU_INST_002_0135,Debate,Intermediate,2024-09-18,Good,,81,Dhruv Singhal
ACT_INST_002_000154,STU_INST_002_0140,Music,Advanced,2024-11-08,Good,,83,Nitin Chopra
ACT_INST_002_000155,STU_INST_002_0140,Music,Intermediate,2025-01-29,Good,,88,Kiara Shukla
ACT_INST_002_000156,STU_INST_002_0141,Yoga,Advanced,2025-02-05,Good,,74,Arnav Rao
ACT_INST_002_000157,STU_INST_002_0145,Music,Intermediate,2024-12-22,Needs Improvement,Certificate of Participation,90,Yash Jindal
ACT_INST_002_000158,STU_INST_002_0146,Basketball,Beginner,2025-05-25,Average,State Level Qualifier,87,Ananya Vyas
ACT_INST_002_000159,STU_INST_002_0148,Drama,Beginner,2024-12-29,Good,,88,Reyansh Mehta
ACT_INST_002_000160,STU_INST_002_0150,Karate,Beginner,2025-01-04,Needs Improvement,,78,Yogesh Chopra
ACT_INST_002_000161,STU_INST_002_0151,Literary Society,Advanced,2025-07-17,Average,,71,Rajesh Menon
ACT_INST_002_000162,STU_INST_002_0151,Yoga,Beginner,2024-10-26,Good,,70,Nidhi Kale
ACT_INST_002_000163,STU_INST_002_0153,Literary Society,Advanced,2025-02-15,Needs Improvement,District Level Participant,93,Yogesh Pandey
ACT_INST_002_000164,STU_INST_002_0153,Dance,Advanced,2025-01-08,Needs Improvement,,77,Aditi Kumar
ACT_INST_002_000165,STU_INST_002_0153,Art & Craft,Beginner,2025-06-30,Needs Improvement,,84,Ravi Patel
ACT_INST_002_000166,STU_INST_002_0154,Quiz,Beginner,2025-04-30,Needs Improvement,State Level Qualifier,73,Sneha Shah
ACT_INST_002_000167,STU_INST_002_0156,Football,Advanced,2025-07-13,Needs Improvement,,80,Tanya Kamath
ACT_INST_002_000168,STU_INST_002_0157,Karate,Intermediate,2024-10-21,Excellent,State Level Qualifier,71,Rajesh Gupta
ACT_INST_002_000169,STU_INST_002_0157,Basketball,Beginner,2024-11-25,Good,Certificate of Participation,80,Deepika Trivedi
ACT_INST_002_000170,STU_INST_002_0157,Yoga,Intermediate,2024-11-28,Average,State Level Qualifier,76,Amit Shukla
ACT_INST_002_000171,STU_INST_002_0159,Athletics,Advanced,2025-06-18,Average,,89,Rohan Agarwal
ACT_INST_002_000172,STU_INST_002_0159,Table Tennis,Beginner,2025-08-13,Good,,77,Manoj Kale
ACT_INST_002_000173,STU_INST_002_0159,Dance,Beginner,2025-04-18,Average,,88,Arya More
ACT_INST_002_000174,STU_INST_002_0160,Science Club,Beginner,2025-01-23,Good,,87,Rahul Roy
ACT_INST_002_000175,STU_INST_002_0160,Basketball,Intermediate,2025-07-10,Very Good,,96,Deepika Shinde
ACT_INST_002_000176,STU_INST_002_0161,Literary Society,Intermediate,2025-02-23,Good,,91,Priya Mondal
ACT_INST_002_000177,STU_INST_002_0165,Athletics,Intermediate,2024-10-12,Very Good,,92,Rashmi Saha
ACT_INST_002_000178,STU_INST_002_0167,Art & Craft,Advanced,2025-07-31,Good,,83,Diya Saxena
ACT_INST_002_000179,STU_INST_002_0167,Karate,Intermediate,2024-12-26,Very Good,,73,Ira Bhattacharya
ACT_INST_002_000180,STU_INST_002_0169,Environmental Club,Advanced,2025-07-04,Average,,78,Veer Kapoor
ACT_INST_002_000181,STU_INST_002_0169,Literary Society,Beginner,2024-10-16,Average,,100,Vivaan Dave
ACT_INST_002_000182,STU_INST_002_0169,Athletics,Beginner,2024-10-03,Very Good,,74,Tanya Das
ACT_INST_002_000183,STU_INST_002_0170,Music,Intermediate,2025-02-19,Good,,90,Aarav Khanna
ACT_INST_002_000184,STU_INST_002_0174,Karate,Intermediate,2025-07-11,Very Good,District Level Participant,96,Aadhya Pawar
ACT_INST_002_000185,STU_INST_002_0174,Music,Advanced,2025-04-13,Average,,77,Abhishek Kamath
ACT_INST_002_000186,STU_INST_002_0175,Yoga,Beginner,2025-04-15,Very Good,,100,Shriya Patil
ACT_INST_002_000187,STU_INST_002_0175,Drama,Beginner,2025-04-17,Excellent,,87,Kabir Verma
ACT_INST_002_000188,STU_INST_002_0175,Drama,Advanced,2025-03-23,Average,,73,Sapna Mittal
ACT_INST_002_000189,STU_INST_002_0176,Cultural Committee,Intermediate,2024-11-17,Needs Improvement,State Level Qualifier,97,Priyanka Pawar
ACT_INST_002_000190,STU_INST_002_0177,Dance,Advanced,2025-07-17,Average,,74,Riya Dave
ACT_INST_002_000191,STU_INST_002_0180,Music,Advanced,2025-04-19,Very Good,,77,Arnav Mitra
ACT_INST_002_000192,STU_INST_002_0186,Basketball,Intermediate,2025-04-14,Excellent,,90,Deepak Biswas
ACT_INST_002_000193,STU_INST_002_0186,Cricket,Advanced,2024-11-04,Needs Improvement,,79,Ravi Bansal
ACT_INST_002_000194,STU_INST_002_0189,Table Tennis,Advanced,2025-08-10,Good,,86,Divya Chowdhury
ACT_INST_002_000195,STU_INST_002_0190,Environmental Club,Beginner,2025-05-17,Needs Improvement,,72,Kiara Mondal
ACT_INST_002_000196,STU_INST_002_0190,Yoga,Intermediate,2025-01-12,Good,,81,Rudra Bose
ACT_INST_002_000197,STU_INST_002_0191,Football,Beginner,2025-06-01,Very Good,,94,Diya Mathur
ACT_INST_002_000198,STU_INST_002_0191,Art & Craft,Beginner,2025-04-25,Very Good,,82,Rashmi Bhardwaj
ACT_INST_002_000199,STU_INST_002_0191,Badminton,Advanced,2025-05-10,Excellent,,95,Arya Mehta
ACT_INST_002_000200,STU_INST_002_0196,Quiz,Intermediate,2025-06-24,Needs Improvement,Certificate of Participation,96,Karan Joshi
ACT_INST_002_000201,STU_INST_002_0196,Table Tennis,Intermediate,2025-07-21,Very Good,,81,Aarav Tiwari
ACT_INST_002_000202,STU_INST_002_0196,Science Club,Advanced,2024-10-25,Excellent,District Level Participant,85,Deepak Suthar
ACT_INST_002_000203,STU_INST_002_0198,Literary Society,Beginner,2025-08-15,Needs Improvement,,77,Ashish Dave
ACT_INST_002_000204,STU_INST_002_0198,Environmental Club,Advanced,2024-09-30,Very Good,,92,Divya Sen
ACT_INST_002_000205,STU_INST_002_0204,Basketball,Intermediate,2025-07-04,Good,,74,Anika Kar
ACT_INST_002_000206,STU_INST_002_0204,Debate,Advanced,2025-06-01,Needs Improvement,,84,Suresh Chopra
ACT_INST_002_000207,STU_INST_002_0205,Art & Craft,Intermediate,2025-02-23,Excellent,,74,Avni Mehta
ACT_INST_002_000208,STU_INST_002_0205,Science Club,Advanced,2024-11-09,Very Good,,84,Ashish Ganguly
ACT_INST_002_000209,STU_INST_002_0205,Environmental Club,Intermediate,2025-04-16,Good,,76,Deepak Dave
ACT_INST_002_000210,STU_INST_002_0207,Karate,Advanced,2024-09-18,Excellent,School Level Winner,96,Ishaan Deshpande
ACT_INST_002_000211,STU_INST_002_0207,Literary Society,Beginner,2025-02-23,Needs Improvement,,97,Dhruv Suthar
ACT_INST_002_000212,STU_INST_002_0209,Athletics,Beginner,2025-08-06,Good,,76,Advik Hegde
ACT_INST_002_000213,STU_INST_002_0210,Literary Society,Intermediate,2024-11-13,Very Good,,78,Aadhya Joshi
ACT_INST_002_000214,STU_INST_002_0212,Table Tennis,Beginner,2024-10-14,Needs Improvement,District Level Participant,79,Aditi Gowda
ACT_INST_002_000215,STU_INST_002_0214,Literary Society,Beginner,2024-12-17,Average,,79,Arjit Kumar
ACT_INST_002_000216,STU_INST_002_0214,Environmental Club,Intermediate,2025-01-03,Good,School Level Winner,92,Navya Desai
ACT_INST_002_000217,STU_INST_002_0214,Table Tennis,Intermediate,2025-02-23,Very Good,,73,Ashish Dubey
ACT_INST_002_000218,STU_INST_002_0215,Environmental Club,Advanced,2025-06-18,Excellent,,72,Sara Mittal
ACT_INST_002_000219,STU_INST_002_0219,Yoga,Intermediate,2024-11-15,Average,,73,Sapna Chaturvedi
ACT_INST_002_000220,STU_INST_002_0219,Quiz,Intermediate,2025-03-06,Excellent,,73,Ayaan Dave
ACT_INST_002_000221,STU_INST_002_0225,Science Club,Beginner,2025-02-08,Very Good,District Level Participant,96,Ishika Iyer
ACT_INST_002_000222,STU_INST_002_0226,Art & Craft,Advanced,2025-02-24,Good,,89,Ishika Saha
ACT_INST_002_000223,STU_INST_002_0227,Table Tennis,Intermediate,2025-02-13,Excellent,,96,Aryan Bhatia
ACT_INST_002_000224,STU_INST_002_0227,Karate,Advanced,2025-03-11,Average,,73,Tanvi Patil
ACT_INST_002_000225,STU_INST_002_0227,Cultural Committee,Intermediate,2025-05-26,Very Good,State Level Qualifier,95,Shreya Dutta
ACT_INST_002_000226,STU_INST_002_0228,Football,Beginner,2025-07-15,Very Good,,92,Tanvi Shinde
ACT_INST_002_000227,STU_INST_002_0231,Cultural Committee,Intermediate,2024-10-12,Good,,80,Rudra Sharma
ACT_INST_002_000228,STU_INST_002_0231,Quiz,Advanced,2025-07-14,Average,School Level Winner,93,Kavya Mandal
ACT_INST_002_000229,STU_INST_002_0231,Art & Craft,Advanced,2025-05-10,Good,School Level Winner,76,Deepak Kumar
ACT_INST_002_000230,STU_INST_002_0232,Yoga,Intermediate,2024-12-20,Very Good,District Level Participant,92,Aryan Thakkar
ACT_INST_002_000231,STU_INST_002_0232,Science Club,Beginner,2024-10-16,Average,,77,Arjit Gupta
ACT_INST_002_000232,STU_INST_002_0232,Football,Advanced,2024-12-13,Average,State Level Qualifier,79,Rajesh Dutta
ACT_INST_002_000233,STU_INST_002_0233,Badminton,Intermediate,2024-10-10,Very Good,,98,Rohan Khanna
ACT_INST_002_000234,STU_INST_002_0233,Basketball,Beginner,2025-08-06,Very Good,Certificate of Participation,82,Manoj Shetty
ACT_INST_002_000235,STU_INST_002_0233,Yoga,Beginner,2024-11-30,Excellent,School Level Winner,72,Shreya Gupta
