student_id,institute_id,parent_id,mentor_id,name,gender,grade,section,roll_number,date_of_birth,admission_date,academic_year,attendance_percentage,current_gpa,behavioral_incidents,risk_level,last_assessment_score,fees_paid,transport_mode,medium_of_instruction,special_needs
STU_INST_002_0039,INST_002,PAR_INST_002_0039,MEN_INST_002_015,Nidhi Sen,Female,12th,A,9t9329,2010-01-20,2025-06-23,2025-26,63.3,3.38,0,Medium,35,Yes,Private Vehicle,Hindi,None
STU_INST_002_0040,INST_002,PAR_INST_002_0040,MEN_INST_002_016,Saanvi Hegde,Female,12th,B,9t9758,2009-11-07,2024-08-04,2025-26,76.4,2.77,1,Medium,75,Partial,Auto Rickshaw,Hindi,None
STU_INST_002_0041,INST_002,PAR_INST_002_0041,MEN_INST_002_017,Arya Tiwari,Female,10th,E,126931,2011-02-18,2024-09-15,2025-26,69.9,2.57,1,Medium,70,No,School Bus,Regional Language,None
STU_INST_002_0042,INST_002,PAR_INST_002_0042,MEN_INST_002_018,Seema Singhal,Female,11th,A,123182,2011-09-20,2025-05-27,2025-26,84.4,3.7,1,Low,85,Yes,Walking,English,None
STU_INST_002_0043,INST_002,PAR_INST_002_0043,MEN_INST_002_019,Saanvi Khanna,Female,9th,B,9t5603,2009-04-30,2023-12-04,2025-26,70.0,2.5,0,Medium,45,No,Auto Rickshaw,Regional Language,None
STU_INST_002_0044,INST_002,PAR_INST_002_0044,MEN_INST_002_020,Vivaan Mandal,Male,10th,A,109730,2010-11-11,2024-08-17,2025-26,83.6,1.88,2,High,36,Yes,Walking,Regional Language,None
STU_INST_002_0045,INST_002,PAR_INST_002_0045,MEN_INST_002_021,Seema Mitra,Female,12th,E,124381,2009-01-24,2024-10-20,2025-26,98.5,3.1,1,Low,83,Yes,School Bus,Hindi,None
STU_INST_002_0046,INST_002,PAR_INST_002_0046,MEN_INST_002_022,Laksh Kapoor,Male,9th,B,127812,2007-10-25,2025-05-21,2025-26,98.1,2.29,0,Low,46,Partial,Bicycle,English,None
STU_INST_002_0047,INST_002,PAR_INST_002_0047,MEN_INST_002_023,Arya Mehta,Female,11th,A,116776,2009-06-03,2024-03-08,2025-26,92.7,2.22,2,Medium,53,Partial,Private Vehicle,Regional Language,None
STU_INST_002_0048,INST_002,PAR_INST_002_0048,MEN_INST_002_024,Manoj Goyal,Male,11th,C,117050,2009-11-06,2024-12-06,2025-26,65.5,2.58,1,Medium,91,No,Walking,English,None
STU_INST_002_0049,INST_002,PAR_INST_002_0049,MEN_INST_002_001,Priyanka Jindal,Female,10th,B,125857,2011-04-07,2024-02-15,2025-26,51.0,2.85,1,Medium,77,Yes,Auto Rickshaw,English,None
STU_INST_002_0050,INST_002,PAR_INST_002_0050,MEN_INST_002_002,Arya Pal,Female,9th,A,106322,2010-08-17,2023-12-25,2025-26,96.2,2.47,1,Low,51,Partial,Bicycle,Regional Language,None
STU_INST_002_0051,INST_002,PAR_INST_002_0051,MEN_INST_002_003,Arya Pillai,Female,12th,A,114110,2008-09-26,2024-05-24,2025-26,67.0,2.16,3,High,85,No,Private Vehicle,English,None
STU_INST_002_0052,INST_002,PAR_INST_002_0052,MEN_INST_002_004,Ananya Deshpande,Female,9th,E,9t3041,2009-08-07,2024-11-30,2025-26,98.3,2.6,1,Low,67,No,Bicycle,English,None
STU_INST_002_0053,INST_002,PAR_INST_002_0053,MEN_INST_002_005,Abhishek Hegde,Male,11th,E,128847,2010-01-22,2023-09-23,2025-26,93.4,2.3,3,Medium,76,Partial,School Bus,Hindi,None
STU_INST_002_0054,INST_002,PAR_INST_002_0054,MEN_INST_002_006,Pihu Saxena,Female,11th,D,9t4560,2011-03-18,2025-05-18,2025-26,95.4,3.19,1,Low,68,Yes,Private Vehicle,English,None
STU_INST_002_0055,INST_002,PAR_INST_002_0055,MEN_INST_002_007,Yogesh Vyas,Male,11th,A,114495,2011-09-08,2023-10-08,2025-26,81.9,2.78,1,Medium,92,Partial,School Bus,English,None
STU_INST_002_0056,INST_002,PAR_INST_002_0056,MEN_INST_002_008,Tanya Khanna,Female,12th,D,9t5177,2009-08-29,2024-12-26,2025-26,87.0,2.63,0,Low,56,Partial,School Bus,Hindi,None
STU_INST_002_0057,INST_002,PAR_INST_002_0057,MEN_INST_002_009,Pihu Tiwari,Female,9th,C,105573,2007-10-24,2024-07-12,2025-26,80.4,1.87,1,Medium,40,No,Auto Rickshaw,Regional Language,None
STU_INST_002_0058,INST_002,PAR_INST_002_0058,MEN_INST_002_010,Myra Bansal,Female,12th,A,107371,2008-04-02,2024-04-30,2025-26,70.4,2.48,2,Medium,60,Yes,Bicycle,Regional Language,None
STU_INST_002_0059,INST_002,PAR_INST_002_0059,MEN_INST_002_011,Aarohi Mukherjee,Female,12th,C,129482,2010-03-07,2023-09-27,2025-26,96.9,3.34,0,Low,91,Yes,Private Vehicle,Hindi,None
STU_INST_002_0060,INST_002,PAR_INST_002_0060,MEN_INST_002_012,Aadhya Srivastava,Female,11th,E,9t3724,2011-09-08,2025-04-20,2025-26,73.6,2.48,0,Medium,47,Partial,Bicycle,Hindi,None
STU_INST_002_0061,INST_002,PAR_INST_002_0061,MEN_INST_002_013,Arnav Tiwari,Male,11th,E,9t6600,2008-06-25,2023-10-17,2025-26,88.1,2.44,2,Medium,76,No,Private Vehicle,English,None
STU_INST_002_0062,INST_002,PAR_INST_002_0062,MEN_INST_002_014,Shalini Nair,Female,12th,A,106978,2007-12-28,2023-10-25,2025-26,100.0,3.34,0,Low,95,Yes,Walking,Hindi,None
STU_INST_002_0063,INST_002,PAR_INST_002_0063,MEN_INST_002_015,Raj Krishnan,Male,10th,A,9t6728,2010-02-25,2024-02-04,2025-26,97.5,1.95,0,Medium,84,Yes,School Bus,Regional Language,None
STU_INST_002_0064,INST_002,PAR_INST_002_0064,MEN_INST_002_016,Veer Singh,Male,10th,B,107294,2010-08-05,2024-08-15,2025-26,65.0,3.33,2,Medium,60,No,Walking,English,None
STU_INST_002_0065,INST_002,PAR_INST_002_0065,MEN_INST_002_017,Priyanka More,Female,9th,A,112281,2010-01-23,2025-06-02,2025-26,70.6,2.62,2,Medium,69,No,Auto Rickshaw,English,None
STU_INST_002_0066,INST_002,PAR_INST_002_0066,MEN_INST_002_018,Preeti Venkatesh,Female,10th,D,116983,2008-01-18,2024-05-09,2025-26,68.4,2.31,1,Medium,58,No,Bicycle,Regional Language,None
STU_INST_002_0067,INST_002,PAR_INST_002_0067,MEN_INST_002_019,Abhishek Saha,Male,12th,A,127480,2009-04-22,2025-05-06,2025-26,93.3,2.88,0,Low,46,Partial,Auto Rickshaw,Regional Language,None
STU_INST_002_0068,INST_002,PAR_INST_002_0068,MEN_INST_002_020,Navya Pal,Female,11th,B,109817,2009-09-11,2024-11-28,2025-26,78.3,3.0,3,Medium,57,Partial,Auto Rickshaw,Regional Language,None
STU_INST_002_0069,INST_002,PAR_INST_002_0069,MEN_INST_002_021,Riya Singhal,Female,12th,C,9t5838,2008-07-21,2024-10-24,2025-26,71.3,3.51,0,Low,80,Partial,Bicycle,Regional Language,None
STU_INST_002_0070,INST_002,PAR_INST_002_0070,MEN_INST_002_022,Aryan Dutta,Male,12th,C,118661,2008-12-06,2025-05-30,2025-26,100.0,2.58,1,Low,73,Yes,Auto Rickshaw,English,None
STU_INST_002_0071,INST_002,PAR_INST_002_0071,MEN_INST_002_023,Arjun Patil,Male,10th,C,117220,2009-07-17,2024-12-23,2025-26,58.8,3.59,1,Medium,86,Partial,Auto Rickshaw,Regional Language,None
STU_INST_002_0072,INST_002,PAR_INST_002_0072,MEN_INST_002_024,Aadhya Mukherjee,Female,12th,E,119990,2009-12-01,2024-04-08,2025-26,83.0,3.23,1,Low,49,Partial,Walking,Hindi,None
STU_INST_002_0073,INST_002,PAR_INST_002_0073,MEN_INST_002_001,Vihaan Dutta,Male,12th,D,123607,2010-01-05,2025-03-20,2025-26,82.2,1.91,0,Medium,44,No,Walking,English,None
STU_INST_002_0074,INST_002,PAR_INST_002_0074,MEN_INST_002_002,Divya Kapoor,Female,10th,A,9t3670,2011-08-05,2023-09-29,2025-26,83.8,1.8,0,Medium,55,No,Auto Rickshaw,Hindi,None
STU_INST_002_0075,INST_002,PAR_INST_002_0075,MEN_INST_002_003,Krishna Kale,Male,10th,C,9t2307,2008-01-26,2025-01-02,2025-26,83.5,1.76,3,High,54,Partial,Auto Rickshaw,Hindi,None
STU_INST_002_0076,INST_002,PAR_INST_002_0076,MEN_INST_002_004,Shaurya Bhardwaj,Male,12th,C,101655,2009-12-28,2025-04-21,2025-26,76.8,2.63,2,Medium,50,Partial,Auto Rickshaw,Hindi,None
STU_INST_002_0077,INST_002,PAR_INST_002_0077,MEN_INST_002_005,Isha Shetty,Female,9th,B,9t6306,2008-01-29,2025-04-19,2025-26,92.9,3.64,2,Low,95,Yes,Walking,English,None
STU_INST_002_0078,INST_002,PAR_INST_002_0078,MEN_INST_002_006,Shalini Dubey,Female,11th,C,9t3349,2008-05-31,2023-12-02,2025-26,74.0,3.22,4,Medium,69,Yes,Auto Rickshaw,English,None
STU_INST_002_0079,INST_002,PAR_INST_002_0079,MEN_INST_002_007,Rohan Venkatesh,Male,9th,C,9t5637,2009-10-21,2023-12-03,2025-26,60.9,2.02,3,High,41,Yes,Private Vehicle,Hindi,None
STU_INST_002_0080,INST_002,PAR_INST_002_0080,MEN_INST_002_008,Nidhi Pillai,Female,11th,B,122556,2009-08-09,2023-11-29,2025-26,100.0,2.78,1,Low,59,No,Private Vehicle,Regional Language,None
STU_INST_002_0081,INST_002,PAR_INST_002_0081,MEN_INST_002_009,Ashish Banerjee,Male,12th,E,102389,2010-05-08,2025-07-21,2025-26,92.4,3.5,2,Low,77,Partial,Auto Rickshaw,Regional Language,None
STU_INST_002_0082,INST_002,PAR_INST_002_0082,MEN_INST_002_010,Khushi Tiwari,Female,12th,E,103588,2011-05-15,2025-02-03,2025-26,94.3,2.25,3,Medium,36,Yes,Bicycle,English,None
STU_INST_002_0083,INST_002,PAR_INST_002_0083,MEN_INST_002_011,Varun Arora,Male,10th,C,102696,2010-10-17,2025-06-16,2025-26,72.4,3.01,2,Medium,62,Yes,Walking,Hindi,None
STU_INST_002_0084,INST_002,PAR_INST_002_0084,MEN_INST_002_012,Reyansh Joshi,Male,10th,B,122333,2007-10-18,2025-06-15,2025-26,83.6,4.0,2,Medium,72,Partial,School Bus,Hindi,None
STU_INST_002_0085,INST_002,PAR_INST_002_0085,MEN_INST_002_013,Rekha Kamath,Female,9th,C,9t4076,2007-10-14,2024-04-19,2025-26,98.1,2.93,1,Low,71,Partial,Private Vehicle,Hindi,None
STU_INST_002_0086,INST_002,PAR_INST_002_0086,MEN_INST_002_014,Tanya Srivastava,Female,11th,B,106234,2010-05-05,2025-06-16,2025-26,53.4,3.21,0,Medium,48,Yes,Walking,Regional Language,None
STU_INST_002_0087,INST_002,PAR_INST_002_0087,MEN_INST_002_015,Ananya Malhotra,Female,12th,C,127369,2007-11-24,2025-02-15,2025-26,83.1,3.52,3,Medium,56,No,Bicycle,English,None
STU_INST_002_0088,INST_002,PAR_INST_002_0088,MEN_INST_002_016,Reyansh Agarwal,Male,10th,E,9t5364,2009-12-13,2023-12-17,2025-26,61.9,2.61,1,Medium,80,Partial,Private Vehicle,Regional Language,None
STU_INST_002_0089,INST_002,PAR_INST_002_0089,MEN_INST_002_017,Shivansh Bose,Male,10th,A,121152,2010-10-06,2023-10-16,2025-26,84.2,1.7,0,Medium,53,Partial,Walking,Regional Language,None
STU_INST_002_0090,INST_002,PAR_INST_002_0090,MEN_INST_002_018,Arjun Mittal,Male,12th,D,126816,2010-10-11,2024-10-07,2025-26,88.8,2.01,0,Medium,47,Partial,Private Vehicle,Hindi,None
STU_INST_002_0091,INST_002,PAR_INST_002_0091,MEN_INST_002_019,Sara Das,Female,10th,C,128185,2009-12-31,2025-07-19,2025-26,79.6,2.47,2,Medium,90,Yes,Private Vehicle,Hindi,None
STU_INST_002_0092,INST_002,PAR_INST_002_0092,MEN_INST_002_020,Riya Chaturvedi,Female,9th,B,107873,2011-05-09,2025-05-08,2025-26,52.4,3.38,1,Medium,43,Yes,Auto Rickshaw,Hindi,None
STU_INST_002_0093,INST_002,PAR_INST_002_0093,MEN_INST_002_021,Tanya Joshi,Female,9th,A,108971,2010-04-19,2024-05-14,2025-26,92.8,2.99,1,Low,72,Yes,Private Vehicle,Hindi,None
STU_INST_002_0094,INST_002,PAR_INST_002_0094,MEN_INST_002_022,Riya Khanna,Female,10th,C,124031,2008-02-28,2023-11-26,2025-26,97.7,2.21,0,Low,84,Partial,Bicycle,Hindi,None
STU_INST_002_0095,INST_002,PAR_INST_002_0095,MEN_INST_002_023,Shalini Arora,Female,10th,E,111039,2009-05-22,2025-01-18,2025-26,91.0,3.31,1,Low,62,Yes,Bicycle,Regional Language,None
STU_INST_002_0096,INST_002,PAR_INST_002_0096,MEN_INST_002_024,Vihaan Mukherjee,Male,10th,B,108142,2009-09-19,2024-05-14,2025-26,96.4,3.5,1,Low,66,No,School Bus,Hindi,None
STU_INST_002_0097,INST_002,PAR_INST_002_0097,MEN_INST_002_001,Sunita Arora,Female,12th,B,105958,2008-05-07,2025-03-01,2025-26,81.1,2.67,0,Medium,73,Yes,Private Vehicle,Regional Language,None
STU_INST_002_0098,INST_002,PAR_INST_002_0098,MEN_INST_002_002,Diya Sethi,Female,11th,B,121486,2010-11-02,2024-06-07,2025-26,94.3,2.87,2,Medium,67,No,Walking,Hindi,None
STU_INST_002_0099,INST_002,PAR_INST_002_0099,MEN_INST_002_003,Raj Kar,Male,9th,E,122084,2010-02-04,2023-11-02,2025-26,91.6,2.64,0,Low,38,No,Walking,English,None
STU_INST_002_0100,INST_002,PAR_INST_002_0100,MEN_INST_002_004,Sneha Sarkar,Female,12th,C,119652,2008-10-28,2023-11-26,2025-26,67.0,4.0,1,Medium,85,Yes,School Bus,Hindi,None
STU_INST_002_0101,INST_002,PAR_INST_002_0101,MEN_INST_002_005,Veer Hegde,Male,10th,B,111895,2009-03-10,2024-10-02,2025-26,56.8,2.5,3,Medium,48,No,School Bus,Hindi,None
STU_INST_002_0102,INST_002,PAR_INST_002_0102,MEN_INST_002_006,Nidhi Pandey,Female,11th,D,108700,2011-04-07,2024-04-07,2025-26,80.2,2.28,4,High,44,No,Bicycle,Regional Language,None
STU_INST_002_0103,INST_002,PAR_INST_002_0103,MEN_INST_002_007,Ashish Mishra,Male,9th,D,9t4755,2008-04-08,2024-12-23,2025-26,72.2,2.6,2,Medium,38,No,Bicycle,English,None
STU_INST_002_0104,INST_002,PAR_INST_002_0104,MEN_INST_002_008,Sunita Das,Female,12th,D,118826,2010-01-28,2025-05-24,2025-26,63.0,3.38,0,Medium,76,Yes,School Bus,Regional Language,None
STU_INST_002_0105,INST_002,PAR_INST_002_0105,MEN_INST_002_009,Laksh Mishra,Male,12th,A,109620,2010-05-21,2025-01-15,2025-26,63.9,2.27,1,Medium,50,Partial,Walking,Hindi,None
STU_INST_002_0106,INST_002,PAR_INST_002_0106,MEN_INST_002_010,Vikram Khanna,Male,10th,A,104802,2009-03-08,2025-03-05,2025-26,100.0,2.89,1,Low,91,No,Bicycle,Regional Language,None
STU_INST_002_0107,INST_002,PAR_INST_002_0107,MEN_INST_002_011,Ananya Joshi,Female,9th,B,124679,2008-08-26,2023-11-07,2025-26,75.1,2.19,3,Medium,35,Yes,School Bus,Regional Language,None
STU_INST_002_0108,INST_002,PAR_INST_002_0108,MEN_INST_002_012,Raj Joshi,Male,9th,D,9t1360,2008-03-10,2025-06-21,2025-26,100.0,3.94,1,Low,42,No,Private Vehicle,Hindi,None
STU_INST_002_0109,INST_002,PAR_INST_002_0109,MEN_INST_002_013,Sai Kamath,Male,10th,C,9t2910,2008-03-29,2024-04-13,2025-26,100.0,2.59,1,Low,51,No,Auto Rickshaw,Regional Language,None
STU_INST_002_0110,INST_002,PAR_INST_002_0110,MEN_INST_002_014,Manisha Singh,Female,11th,C,102471,2010-04-23,2024-04-11,2025-26,73.3,3.04,0,Low,52,Partial,Auto Rickshaw,Hindi,None
STU_INST_002_0111,INST_002,PAR_INST_002_0111,MEN_INST_002_015,Sanjay Bansal,Male,11th,B,123741,2011-06-10,2024-10-01,2025-26,80.7,2.39,0,Medium,35,Partial,Auto Rickshaw,English,None
STU_INST_002_0112,INST_002,PAR_INST_002_0112,MEN_INST_002_016,Krishna Joshi,Male,12th,A,124564,2009-05-03,2024-11-04,2025-26,100.0,2.77,2,Low,85,Yes,Walking,English,None
STU_INST_002_0113,INST_002,PAR_INST_002_0113,MEN_INST_002_017,Myra Desai,Female,10th,B,9t2645,2009-12-08,2025-03-03,2025-26,57.8,3.33,3,Medium,89,Partial,School Bus,Regional Language,None
STU_INST_002_0114,INST_002,PAR_INST_002_0114,MEN_INST_002_018,Anil Khanna,Male,9th,A,115829,2010-06-28,2025-08-09,2025-26,78.9,3.59,1,Low,73,No,Bicycle,Regional Language,None
STU_INST_002_0115,INST_002,PAR_INST_002_0115,MEN_INST_002_019,Diya Srivastava,Female,11th,C,106428,2008-10-30,2024-11-15,2025-26,79.2,2.9,3,Medium,82,Yes,Bicycle,Hindi,None
STU_INST_002_0116,INST_002,PAR_INST_002_0116,MEN_INST_002_020,Avni Bhatia,Female,9th,D,9t6207,2008-06-18,2023-11-13,2025-26,73.5,2.04,1,Medium,72,Yes,Auto Rickshaw,Regional Language,None
STU_INST_002_0117,INST_002,PAR_INST_002_0117,MEN_INST_002_021,Shweta Vyas,Female,10th,D,123841,2010-07-24,2024-02-04,2025-26,74.1,4.0,1,Low,57,Yes,Walking,English,None
STU_INST_002_0118,INST_002,PAR_INST_002_0118,MEN_INST_002_022,Yogesh Mathur,Male,10th,D,124487,2009-11-17,2025-08-08,2025-26,100.0,3.21,4,Low,82,Yes,Private Vehicle,Hindi,Dyslexia
STU_INST_002_0119,INST_002,PAR_INST_002_0119,MEN_INST_002_023,Sai Kapoor,Male,11th,C,104411,2011-03-03,2024-11-10,2025-26,76.9,2.8,0,Medium,57,Yes,Private Vehicle,Regional Language,None
STU_INST_002_0120,INST_002,PAR_INST_002_0120,MEN_INST_002_024,Tanvi Khanna,Female,9th,C,103865,2011-06-05,2025-03-19,2025-26,76.5,2.66,0,Medium,95,Partial,Bicycle,Regional Language,None
STU_INST_002_0121,INST_002,PAR_INST_002_0121,MEN_INST_002_001,Riya Mondal,Female,9th,E,9t7444,2010-11-02,2025-08-13,2025-26,71.7,3.08,4,Medium,40,Yes,Private Vehicle,Regional Language,None
STU_INST_002_0122,INST_002,PAR_INST_002_0122,MEN_INST_002_002,Shalini Shah,Female,9th,A,125725,2008-06-29,2024-12-08,2025-26,86.5,3.25,2,Low,86,No,Auto Rickshaw,English,None
STU_INST_002_0123,INST_002,PAR_INST_002_0123,MEN_INST_002_003,Ankit Bansal,Male,11th,B,105969,2010-04-27,2023-09-27,2025-26,68.4,2.89,1,Medium,38,Yes,Auto Rickshaw,Hindi,None
