parent_id,institute_id,father_name,mother_name,primary_contact,email,phone_primary,phone_secondary,address,occupation_father,occupation_mother,income_bracket,children_count,religion,caste_category
PAR_INST_001_0066,INST_001,Harsh Mandal,Pihu Mandal,Harsh Mandal,harsh_mandal@yahoo.com,+91-8928364408,+91-8026870568,"Plot No. 714, Extension 27, Chennai",Teacher,Doctor,10-15 LPA,1,Muslim,ST
PAR_INST_001_0067,INST_001,Rohan Mathur,Sapna Mathur,Rohan Mathur,rmathur@gmail.com,+91-8166882634,+91-9251751830,"Plot No. 387, Sector 5, Chennai",Businessman,Consultant,15-25 LPA,1,Jain,OBC
PAR_INST_001_0068,INST_001,Raj Chaturvedi,Seema Chaturvedi,Raj Chaturvedi,raj.chaturvedi@yahoo.com,+91-9217393638,+91-8846785445,"Villa No. 478, Block 47, Chennai",Lawyer,Consultant,5-10 LPA,1,Muslim,SC
PAR_INST_001_0069,INST_001,Suresh Joshi,Kavya Joshi,Suresh Joshi,sureshjoshi@yahoo.co.in,+91-9404899642,+91-9253693785,"Plot No. 782, Market 47, Chennai",IAS Officer,Professor,10-15 LPA,1,Sikh,OBC
PAR_INST_001_0070,INST_001,Advait Venkatesh,Sneha Venkatesh,Advait Venkatesh,advait738@rediffmail.com,+91-9380801006,+91-9431203875,"House No. 633, Market 43, Chennai",Lawyer,Homemaker,< 2 LPA,1,Buddhist,ST
PAR_INST_001_0071,INST_001,Aarav Singh,Aditi Singh,Aarav Singh,aarav_singh@gmail.com,+91-8262118233,+91-7984546156,"Villa No. 579, Nagar 45, Chennai",Businessman,Doctor,25+ LPA,1,Hindu,General
PAR_INST_001_0072,INST_001,Sai Kulkarni,Swati Kulkarni,Sai Kulkarni,skulkarni@gmail.com,+91-9821765918,+91-9733974014,"House No. 184, Enclave 2, Chennai",Businessman,Bank Employee,2-5 LPA,1,Jain,ST
PAR_INST_001_0073,INST_001,Arjun Menon,Sneha Menon,Arjun Menon,arjun247@rediffmail.com,+91-8156218501,+91-8531599965,"House No. 650, Vihar 29, Chennai",Lawyer,Engineer,5-10 LPA,1,Buddhist,ST
PAR_INST_001_0074,INST_001,Akash Tiwari,Kiara Tiwari,Akash Tiwari,atiwari@gmail.com,+91-7943114262,+91-8655110475,"Plot No. 105, Colony 6, Chennai",Teacher,Businesswoman,10-15 LPA,1,Buddhist,ST
PAR_INST_001_0075,INST_001,Reyansh Kumar,Priya Kumar,Reyansh Kumar,reyansh.kumar@hotmail.com,+91-7956046618,+91-9198262244,"Plot No. 505, Colony 5, Chennai",Teacher,Businesswoman,5-10 LPA,1,Sikh,SC
PAR_INST_001_0076,INST_001,Raj Malhotra,Nidhi Malhotra,Raj Malhotra,rajmalhotra@yahoo.co.in,+91-8399371240,+91-8659657569,"Flat No. 308, Enclave 39, Chennai",Police Officer,Engineer,10-15 LPA,1,Christian,OBC
PAR_INST_001_0077,INST_001,Ankit Krishnan,Rekha Krishnan,Ankit Krishnan,akrishnan@hotmail.com,+91-9156465193,+91-8082807374,"House No. 839, Extension 44, Chennai",Lawyer,Nurse,25+ LPA,1,Christian,OBC
PAR_INST_001_0078,INST_001,Aryan Dave,Aarohi Dave,Aryan Dave,adave@gmail.com,+91-8497968868,+91-9758911352,"House No. 577, Extension 49, Chennai",Farmer,Consultant,10-15 LPA,1,Hindu,General
PAR_INST_001_0079,INST_001,Reyansh Desai,Shreya Desai,Reyansh Desai,reyansh765@hotmail.com,+91-8093756798,+91-9450714611,"Flat No. 357, Vihar 22, Chennai",Lawyer,Consultant,2-5 LPA,1,Buddhist,ST
PAR_INST_001_0080,INST_001,Rajesh Das,Saanvi Das,Rajesh Das,rdas@outlook.com,+91-9640105123,+91-8228258673,"Villa No. 645, Colony 12, Chennai",IAS Officer,Principal,10-15 LPA,1,Sikh,General
PAR_INST_001_0081,INST_001,Kabir Pal,Pooja Pal,Kabir Pal,kpal@rediffmail.com,+91-9833419182,+91-8753714785,"Villa No. 626, Extension 38, Chennai",Doctor,Government Employee,5-10 LPA,1,Sikh,OBC
PAR_INST_001_0082,INST_001,Shivansh Menon,Tanya Menon,Shivansh Menon,shivanshmenon@outlook.com,+91-9534125286,+91-8592966278,"Flat No. 569, Colony 32, Chennai",Government Employee,Nurse,2-5 LPA,1,Christian,ST
PAR_INST_001_0083,INST_001,Varun Mishra,Rashmi Mishra,Varun Mishra,varunmishra@yahoo.com,+91-8688767677,+91-9319034043,"Plot No. 173, Market 37, Chennai",Police Officer,Consultant,10-15 LPA,1,Buddhist,General
PAR_INST_001_0084,INST_001,Harsh Aggarwal,Kavita Aggarwal,Harsh Aggarwal,harsh_aggarwal@hotmail.com,+91-9778361340,+91-8445171339,"Plot No. 882, Extension 11, Chennai",Bank Manager,Nurse,2-5 LPA,1,Muslim,General
PAR_INST_001_0085,INST_001,Harsh Subramanian,Tanvi Subramanian,Harsh Subramanian,harsh612@yahoo.com,+91-8844948126,+91-9742232536,"Villa No. 146, Vihar 41, Chennai",Shopkeeper,Businesswoman,10-15 LPA,1,Hindu,General
PAR_INST_001_0086,INST_001,Ankit Sen,Zara Sen,Ankit Sen,ankit_sen@rediffmail.com,+91-8359017518,+91-8636374545,"Flat No. 580, Market 22, Chennai",Consultant,Principal,< 2 LPA,1,Hindu,General
PAR_INST_001_0087,INST_001,Arjit Pawar,Ananya Pawar,Arjit Pawar,arjitpawar@rediffmail.com,+91-8406324241,+91-8741520643,"Villa No. 672, Block 46, Chennai",Doctor,Homemaker,2-5 LPA,1,Sikh,General
PAR_INST_001_0088,INST_001,Krishna Sarkar,Shreya Sarkar,Krishna Sarkar,ksarkar@gmail.com,+91-9851627136,+91-9611554262,"Flat No. 71, Sector 40, Chennai",IAS Officer,Nurse,10-15 LPA,1,Christian,OBC
PAR_INST_001_0089,INST_001,Arjit Singhal,Shweta Singhal,Arjit Singhal,asinghal@yahoo.com,+91-9612196565,+91-9434138999,"Plot No. 798, Sector 43, Chennai",Consultant,Doctor,2-5 LPA,1,Buddhist,OBC
PAR_INST_001_0090,INST_001,Kabir Kamath,Rekha Kamath,Kabir Kamath,kabirkamath@rediffmail.com,+91-8613791805,+91-8826965827,"House No. 18, Block 1, Chennai",Government Employee,Engineer,< 2 LPA,1,Hindu,ST
PAR_INST_001_0091,INST_001,Sanjay Rao,Kriti Rao,Sanjay Rao,srao@rediffmail.com,+91-8618892414,+91-9683285691,"Plot No. 716, Extension 47, Chennai",Software Developer,Engineer,< 2 LPA,1,Muslim,General
PAR_INST_001_0092,INST_001,Akash Aggarwal,Manisha Aggarwal,Akash Aggarwal,akash.aggarwal@outlook.com,+91-9310202758,+91-8242524105,"Villa No. 279, Block 17, Chennai",Police Officer,Bank Employee,25+ LPA,1,Hindu,ST
PAR_INST_001_0093,INST_001,Anil Sen,Nidhi Sen,Anil Sen,anil512@yahoo.com,+91-8724191380,+91-9703075622,"House No. 567, Extension 15, Chennai",Farmer,Engineer,10-15 LPA,1,Jain,SC
PAR_INST_001_0094,INST_001,Karan Malhotra,Maya Malhotra,Karan Malhotra,karan123@yahoo.co.in,+91-9723806174,+91-8951870534,"Plot No. 758, Nagar 30, Chennai",Farmer,Bank Employee,10-15 LPA,1,Muslim,OBC
PAR_INST_001_0095,INST_001,Ishaan Sharma,Shweta Sharma,Ishaan Sharma,ishaan239@outlook.com,+91-9850641383,+91-8570241038,"Villa No. 718, Enclave 30, Chennai",Police Officer,Teacher,15-25 LPA,1,Hindu,OBC
PAR_INST_001_0096,INST_001,Arjit Kamath,Diya Kamath,Arjit Kamath,arjit.kamath@rediffmail.com,+91-9434456557,+91-9031329121,"Flat No. 461, Market 21, Chennai",Shopkeeper,Teacher,15-25 LPA,1,Christian,OBC
PAR_INST_001_0097,INST_001,Abhishek Iyer,Manisha Iyer,Abhishek Iyer,abhishek.iyer@gmail.com,+91-9349035213,+91-8768044206,"Villa No. 570, Nagar 7, Chennai",Lawyer,Teacher,2-5 LPA,1,Hindu,General
PAR_INST_001_0098,INST_001,Vihaan Mathur,Khushi Mathur,Vihaan Mathur,vmathur@outlook.com,+91-9699410137,+91-9415107029,"Villa No. 842, Extension 32, Chennai",Engineer,Businesswoman,25+ LPA,1,Sikh,OBC
PAR_INST_001_0099,INST_001,Rajesh Srivastava,Riya Srivastava,Rajesh Srivastava,rsrivastava@yahoo.com,+91-9799934768,+91-8301462638,"Flat No. 646, Sector 25, Chennai",Contractor,Professor,5-10 LPA,1,Sikh,ST
PAR_INST_001_0100,INST_001,Rajesh Mitra,Shriya Mitra,Rajesh Mitra,rajesh_mitra@yahoo.com,+91-9859304078,+91-8793213348,"House No. 783, Nagar 37, Chennai",Software Developer,Consultant,10-15 LPA,1,Christian,OBC
PAR_INST_001_0101,INST_001,Atharv Patel,Isha Patel,Atharv Patel,atharv_patel@hotmail.com,+91-9859929378,+91-8927010393,"House No. 540, Market 1, Chennai",Farmer,Bank Employee,2-5 LPA,1,Muslim,SC
PAR_INST_001_0102,INST_001,Om Saxena,Neha Saxena,Om Saxena,omsaxena@hotmail.com,+91-9418515691,+91-8845226752,"Plot No. 229, Colony 25, Chennai",Government Employee,Professor,25+ LPA,1,Christian,OBC
PAR_INST_001_0103,INST_001,Atharv Sharma,Sara Sharma,Atharv Sharma,atharv401@gmail.com,+91-9395939172,+91-8813552157,"House No. 272, Nagar 16, Chennai",Police Officer,Teacher,5-10 LPA,1,Christian,General
PAR_INST_001_0104,INST_001,Advait Sharma,Anika Sharma,Advait Sharma,asharma@yahoo.com,+91-8576586179,+91-9127104054,"House No. 76, Enclave 11, Chennai",Consultant,Businesswoman,2-5 LPA,1,Jain,General
PAR_INST_001_0105,INST_001,Yogesh Chopra,Seema Chopra,Yogesh Chopra,ychopra@yahoo.co.in,+91-9862962015,+91-9236884443,"House No. 51, Extension 37, Chennai",Accountant,Designer,10-15 LPA,1,Muslim,General
PAR_INST_001_0106,INST_001,Vikram Sharma,Anjali Sharma,Vikram Sharma,vikram302@rediffmail.com,+91-9210324171,+91-8967741862,"Plot No. 907, Extension 24, Chennai",Teacher,Lawyer,< 2 LPA,1,Christian,ST
PAR_INST_001_0107,INST_001,Anil Desai,Shreya Desai,Anil Desai,anil.desai@yahoo.com,+91-9515869380,+91-8686879374,"House No. 405, Sector 33, Chennai",Bank Manager,Software Developer,15-25 LPA,1,Jain,OBC
PAR_INST_001_0108,INST_001,Ayaan More,Riya More,Ayaan More,ayaanmore@yahoo.com,+91-9406163294,+91-8811686854,"Villa No. 940, Sector 45, Chennai",Bank Manager,Bank Employee,15-25 LPA,1,Sikh,General
PAR_INST_001_0109,INST_001,Ashish Singhal,Aarohi Singhal,Ashish Singhal,ashish603@gmail.com,+91-9591485646,+91-8399702462,"Villa No. 40, Extension 22, Chennai",Police Officer,Engineer,< 2 LPA,1,Jain,ST
PAR_INST_001_0110,INST_001,Karan Hegde,Ananya Hegde,Karan Hegde,karan_hegde@outlook.com,+91-9071324754,+91-8591373678,"Plot No. 841, Sector 33, Chennai",Contractor,Nurse,< 2 LPA,1,Christian,ST
PAR_INST_001_0111,INST_001,Krishna Bose,Maya Bose,Krishna Bose,krishnabose@yahoo.com,+91-9730705345,+91-8486103579,"Villa No. 182, Market 38, Chennai",Accountant,Government Employee,5-10 LPA,1,Muslim,SC
PAR_INST_001_0112,INST_001,Kabir Panchal,Priya Panchal,Kabir Panchal,kpanchal@gmail.com,+91-9393333468,+91-9807229034,"Plot No. 730, Vihar 28, Chennai",Consultant,Businesswoman,5-10 LPA,1,Sikh,SC
