activity_id,student_id,activity_name,participation_level,start_date,performance_rating,achievements,attendance_percentage,instructor
ACT_INST_001_000027,STU_INST_001_0024,Football,Beginner,2025-02-15,Very Good,,97,Rahul Patil
ACT_INST_001_000028,STU_INST_001_0024,Art & Craft,Beginner,2025-02-26,Very Good,Certificate of Participation,87,Krishna Iyer
ACT_INST_001_000029,STU_INST_001_0025,Drama,Beginner,2025-03-31,Average,,96,Raj Srivastava
ACT_INST_001_000030,STU_INST_001_0025,Literary Society,Beginner,2024-12-19,Average,,74,Suresh Bose
ACT_INST_001_000031,STU_INST_001_0026,Drama,Intermediate,2024-11-17,Good,,77,Aarav Vyas
ACT_INST_001_000032,STU_INST_001_0027,Cultural Committee,Advanced,2025-01-27,Average,,78,Manisha Malhotra
ACT_INST_001_000033,STU_INST_001_0030,Literary Society,Beginner,2025-02-04,Needs Improvement,,73,Meera Mehta
ACT_INST_001_000034,STU_INST_001_0032,Karate,Advanced,2025-01-14,Very Good,,84,Arjun Pillai
ACT_INST_001_000035,STU_INST_001_0032,Literary Society,Beginner,2024-12-23,Excellent,,75,Tanvi Saha
ACT_INST_001_000036,STU_INST_001_0033,Football,Beginner,2024-11-01,Good,,94,Riya Jain
ACT_INST_001_000037,STU_INST_001_0033,Environmental Club,Beginner,2025-03-25,Good,,96,Shalini Mitra
ACT_INST_001_000038,STU_INST_001_0035,Music,Advanced,2025-08-10,Needs Improvement,,72,Ira Joshi
ACT_INST_001_000039,STU_INST_001_0035,Art & Craft,Intermediate,2025-08-12,Average,,89,Avni Venkatesh
ACT_INST_001_000040,STU_INST_001_0035,Debate,Beginner,2025-05-16,Average,,76,Arjun Mitra
ACT_INST_001_000041,STU_INST_001_0036,Cricket,Beginner,2024-11-20,Excellent,,78,Ashish Kale
ACT_INST_001_000042,STU_INST_001_0036,Yoga,Advanced,2025-08-04,Excellent,Certificate of Participation,70,Shaurya Bhatt
ACT_INST_001_000043,STU_INST_001_0037,Cricket,Advanced,2025-07-08,Very Good,Certificate of Participation,81,Ankit Patil
ACT_INST_001_000044,STU_INST_001_0037,Music,Beginner,2024-12-11,Average,,84,Neha Mishra
ACT_INST_001_000045,STU_INST_001_0037,Yoga,Beginner,2025-08-01,Needs Improvement,,82,Diya Menon
ACT_INST_001_000046,STU_INST_001_0040,Karate,Advanced,2024-10-12,Good,,75,Rudra Mittal
ACT_INST_001_000047,STU_INST_001_0040,Cricket,Intermediate,2025-04-03,Excellent,,79,Aryan Hegde
ACT_INST_001_000048,STU_INST_001_0040,Table Tennis,Intermediate,2025-06-14,Excellent,,83,Rudra Jindal
ACT_INST_001_000049,STU_INST_001_0041,Athletics,Advanced,2025-06-28,Average,,80,Anil Iyer
ACT_INST_001_000050,STU_INST_001_0041,Basketball,Advanced,2025-07-08,Good,District Level Participant,92,Anil Rao
ACT_INST_001_000051,STU_INST_001_0042,Music,Advanced,2025-02-06,Needs Improvement,District Level Participant,91,Laksh Saha
ACT_INST_001_000052,STU_INST_001_0044,Environmental Club,Intermediate,2025-04-02,Good,,81,Tanya Venkatesh
ACT_INST_001_000053,STU_INST_001_0047,Athletics,Advanced,2025-03-08,Excellent,State Level Qualifier,75,Arnav Mukherjee
ACT_INST_001_000054,STU_INST_001_0048,Science Club,Advanced,2025-02-16,Average,State Level Qualifier,93,Ankit Jadhav
ACT_INST_001_000055,STU_INST_001_0048,Drama,Advanced,2025-03-18,Very Good,,100,Vikram Singhal
ACT_INST_001_000056,STU_INST_001_0048,Literary Society,Advanced,2025-05-04,Very Good,,95,Diya Gupta
ACT_INST_001_000057,STU_INST_001_0050,Drama,Advanced,2025-05-06,Very Good,District Level Participant,70,Aditi Rao
ACT_INST_001_000058,STU_INST_001_0050,Football,Intermediate,2025-02-23,Good,District Level Participant,83,Anjali Verma
ACT_INST_001_000059,STU_INST_001_0050,Cultural Committee,Beginner,2025-06-30,Average,,85,Sara Pandey
ACT_INST_001_000060,STU_INST_001_0051,Music,Advanced,2025-02-10,Needs Improvement,,99,Khushi Pal
ACT_INST_001_000061,STU_INST_001_0051,Literary Society,Advanced,2025-06-03,Very Good,,99,Samar Trivedi
ACT_INST_001_000062,STU_INST_001_0052,Literary Society,Intermediate,2024-11-25,Excellent,,97,Ira Mehta
ACT_INST_001_000063,STU_INST_001_0052,Karate,Beginner,2024-09-17,Good,,84,Rashmi Deshpande
ACT_INST_001_000064,STU_INST_001_0052,Table Tennis,Advanced,2024-11-19,Very Good,,87,Rahul Arora
ACT_INST_001_000065,STU_INST_001_0053,Art & Craft,Beginner,2025-04-17,Average,District Level Participant,82,Manisha Deshpande
ACT_INST_001_000066,STU_INST_001_0054,Cultural Committee,Beginner,2025-02-13,Good,,74,Seema Patil
ACT_INST_001_000067,STU_INST_001_0054,Science Club,Intermediate,2025-08-10,Very Good,,90,Aarohi Joshi
ACT_INST_001_000068,STU_INST_001_0057,Karate,Advanced,2025-02-05,Excellent,,96,Karan Dave
ACT_INST_001_000069,STU_INST_001_0057,Football,Intermediate,2025-03-06,Very Good,,87,Rohan Malhotra
ACT_INST_001_000070,STU_INST_001_0058,Athletics,Intermediate,2024-12-05,Good,School Level Winner,70,Tanvi Mukherjee
ACT_INST_001_000071,STU_INST_001_0058,Environmental Club,Beginner,2024-11-28,Very Good,,83,Karan Singh
ACT_INST_001_000072,STU_INST_001_0059,Basketball,Advanced,2024-09-19,Very Good,,74,Maya Saha
ACT_INST_001_000073,STU_INST_001_0060,Cultural Committee,Beginner,2025-01-20,Needs Improvement,District Level Participant,77,Atharv Suthar
ACT_INST_001_000074,STU_INST_001_0060,Quiz,Beginner,2024-12-10,Very Good,,79,Deepak Raman
ACT_INST_001_000075,STU_INST_001_0061,Dance,Intermediate,2024-12-03,Excellent,State Level Qualifier,97,Meera Rao
ACT_INST_001_000076,STU_INST_001_0061,Badminton,Advanced,2024-11-07,Excellent,,74,Isha Reddy
ACT_INST_001_000077,STU_INST_001_0062,Yoga,Beginner,2025-05-18,Very Good,,89,Abhishek Roy
ACT_INST_001_000078,STU_INST_001_0062,Basketball,Intermediate,2024-10-21,Good,,88,Vinod Iyer
ACT_INST_001_000079,STU_INST_001_0064,Art & Craft,Intermediate,2025-04-01,Needs Improvement,,74,Ishika Hegde
ACT_INST_001_000080,STU_INST_001_0071,Cultural Committee,Intermediate,2024-10-26,Average,,73,Dhruv Das
ACT_INST_001_000081,STU_INST_001_0072,Cricket,Advanced,2025-01-14,Excellent,,76,Rohan More
ACT_INST_001_000082,STU_INST_001_0078,Cricket,Beginner,2025-06-25,Needs Improvement,,91,Ravi Dutta
ACT_INST_001_000083,STU_INST_001_0078,Football,Intermediate,2024-09-18,Needs Improvement,,83,Vihaan Chaturvedi
ACT_INST_001_000084,STU_INST_001_0078,Literary Society,Intermediate,2024-09-25,Needs Improvement,,90,Sanjay Iyer
ACT_INST_001_000085,STU_INST_001_0079,Literary Society,Intermediate,2024-11-23,Good,,96,Kavya Raman
ACT_INST_001_000086,STU_INST_001_0079,Karate,Beginner,2024-10-14,Excellent,,88,Rudra Patil
ACT_INST_001_000087,STU_INST_001_0079,Cultural Committee,Advanced,2025-07-13,Needs Improvement,,74,Sunita Jindal
ACT_INST_001_000088,STU_INST_001_0080,Literary Society,Intermediate,2024-12-23,Very Good,,93,Kriti Raman
ACT_INST_001_000089,STU_INST_001_0080,Music,Intermediate,2025-06-18,Very Good,,79,Kriti Mitra
ACT_INST_001_000090,STU_INST_001_0082,Karate,Intermediate,2025-04-09,Very Good,,92,Shreya Kale
ACT_INST_001_000091,STU_INST_001_0083,Cultural Committee,Advanced,2024-11-29,Average,,86,Riya Srivastava
ACT_INST_001_000092,STU_INST_001_0083,Drama,Advanced,2024-11-01,Needs Improvement,,93,Yogesh Bhatt
ACT_INST_001_000093,STU_INST_001_0084,Yoga,Advanced,2025-01-19,Very Good,,90,Sara Mishra
ACT_INST_001_000094,STU_INST_001_0084,Art & Craft,Beginner,2025-04-16,Excellent,,100,Suresh Shetty
ACT_INST_001_000095,STU_INST_001_0084,Basketball,Intermediate,2025-08-07,Average,,72,Kiara Mukherjee
ACT_INST_001_000096,STU_INST_001_0085,Dance,Advanced,2025-02-18,Very Good,,76,Shivansh Kar
ACT_INST_001_000097,STU_INST_001_0085,Music,Advanced,2025-05-20,Needs Improvement,Certificate of Participation,100,Rudra Ganguly
ACT_INST_001_000098,STU_INST_001_0086,Environmental Club,Intermediate,2024-10-20,Excellent,,96,Vinod Pawar
ACT_INST_001_000099,STU_INST_001_0086,Cultural Committee,Advanced,2025-07-21,Needs Improvement,Certificate of Participation,89,Rekha Patel
ACT_INST_001_000100,STU_INST_001_0086,Science Club,Beginner,2025-06-18,Needs Improvement,,74,Kabir Suthar
ACT_INST_001_000101,STU_INST_001_0090,Athletics,Advanced,2025-03-29,Average,,92,Sanjay Malhotra
ACT_INST_001_000102,STU_INST_001_0090,Badminton,Beginner,2025-01-18,Needs Improvement,Certificate of Participation,81,Shweta Chowdhury
ACT_INST_001_000103,STU_INST_001_0090,Drama,Advanced,2025-02-19,Excellent,,79,Deepika Mathur
ACT_INST_001_000104,STU_INST_001_0091,Debate,Beginner,2025-03-12,Good,,70,Arjit Mondal
ACT_INST_001_000105,STU_INST_001_0092,Debate,Beginner,2025-08-10,Excellent,,77,Nidhi Sethi
ACT_INST_001_000106,STU_INST_001_0092,Cricket,Beginner,2025-08-12,Good,,81,Rajesh Mehta
ACT_INST_001_000107,STU_INST_001_0092,Literary Society,Intermediate,2025-06-14,Excellent,State Level Qualifier,87,Zara Kamath
ACT_INST_001_000108,STU_INST_001_0097,Quiz,Intermediate,2024-10-16,Average,,88,Riyansh Goyal
ACT_INST_001_000109,STU_INST_001_0097,Football,Intermediate,2024-11-29,Average,,97,Riyansh Jindal
ACT_INST_001_000110,STU_INST_001_0097,Table Tennis,Beginner,2024-12-08,Very Good,,74,Preeti Shinde
ACT_INST_001_000111,STU_INST_001_0098,Table Tennis,Advanced,2025-03-31,Needs Improvement,,100,Arjun Subramanian
ACT_INST_001_000112,STU_INST_001_0098,Drama,Intermediate,2025-02-27,Excellent,,76,Meera Kar
ACT_INST_001_000113,STU_INST_001_0098,Dance,Intermediate,2024-12-17,Very Good,,81,Nitin Pawar
ACT_INST_001_000114,STU_INST_001_0101,Music,Advanced,2025-07-06,Excellent,,74,Sai Singh
ACT_INST_001_000115,STU_INST_001_0101,Football,Advanced,2024-12-12,Average,,80,Tanya Chowdhury
ACT_INST_001_000116,STU_INST_001_0102,Drama,Beginner,2025-04-30,Excellent,,73,Riya Mandal
ACT_INST_001_000117,STU_INST_001_0103,Karate,Beginner,2025-04-12,Average,,72,Aditi Mondal
ACT_INST_001_000118,STU_INST_001_0103,Literary Society,Beginner,2024-12-01,Needs Improvement,,80,Vihaan Subramanian
ACT_INST_001_000119,STU_INST_001_0103,Cultural Committee,Beginner,2025-04-24,Excellent,School Level Winner,81,Sneha Khanna
ACT_INST_001_000120,STU_INST_001_0104,Athletics,Advanced,2024-10-19,Average,,86,Shweta Jain
ACT_INST_001_000121,STU_INST_001_0104,Environmental Club,Beginner,2024-12-03,Excellent,,75,Nitin Shah
ACT_INST_001_000122,STU_INST_001_0105,Karate,Advanced,2024-11-16,Average,,81,Rekha Bhat
ACT_INST_001_000123,STU_INST_001_0107,Cultural Committee,Intermediate,2024-09-19,Excellent,,82,Advik Banerjee
ACT_INST_001_000124,STU_INST_001_0109,Quiz,Advanced,2025-01-29,Very Good,,91,Shriya Kapoor
ACT_INST_001_000125,STU_INST_001_0109,Badminton,Intermediate,2025-06-21,Needs Improvement,District Level Participant,74,Rashmi Deshpande
ACT_INST_001_000126,STU_INST_001_0112,Cultural Committee,Advanced,2024-11-01,Average,,79,Anil Biswas
ACT_INST_001_000127,STU_INST_001_0114,Dance,Beginner,2025-07-27,Good,,94,Ishika Desai
ACT_INST_001_000128,STU_INST_001_0114,Athletics,Beginner,2025-01-27,Needs Improvement,,99,Sanjay Mondal
ACT_INST_001_000129,STU_INST_001_0114,Cricket,Advanced,2025-07-05,Good,State Level Qualifier,90,Sapna Hegde
ACT_INST_001_000130,STU_INST_001_0115,Debate,Beginner,2025-06-18,Needs Improvement,,72,Atharv Biswas
ACT_INST_001_000131,STU_INST_001_0115,Environmental Club,Beginner,2024-12-27,Excellent,,81,Rekha Kamath
ACT_INST_001_000132,STU_INST_001_0116,Football,Beginner,2025-07-13,Good,,83,Amit Bose
ACT_INST_001_000133,STU_INST_001_0116,Art & Craft,Beginner,2025-07-03,Excellent,,75,Riya Kamath
ACT_INST_001_000134,STU_INST_001_0116,Art & Craft,Beginner,2025-01-04,Excellent,,97,Ravi Das
ACT_INST_001_000135,STU_INST_001_0117,Debate,Advanced,2024-09-27,Very Good,,76,Rekha Banerjee
ACT_INST_001_000136,STU_INST_001_0120,Badminton,Intermediate,2025-05-10,Average,,93,Khushi Menon
ACT_INST_001_000137,STU_INST_001_0120,Athletics,Beginner,2025-05-16,Good,,100,Navya Panchal
ACT_INST_001_000138,STU_INST_001_0121,Athletics,Intermediate,2025-01-11,Excellent,,72,Arya Ganguly
ACT_INST_001_000139,STU_INST_001_0121,Science Club,Beginner,2025-08-04,Average,,70,Riya Kulkarni
ACT_INST_001_000140,STU_INST_001_0122,Basketball,Beginner,2025-07-02,Average,,77,Aditya Kapoor
ACT_INST_001_000141,STU_INST_001_0122,Athletics,Beginner,2025-04-02,Good,,70,Suresh Singhal
ACT_INST_001_000142,STU_INST_001_0128,Basketball,Advanced,2025-03-22,Average,,98,Arnav Iyer
ACT_INST_001_000143,STU_INST_001_0128,Yoga,Beginner,2025-05-25,Excellent,,82,Vivaan Pal
ACT_INST_001_000144,STU_INST_001_0128,Art & Craft,Beginner,2025-05-03,Average,School Level Winner,100,Shalini Banerjee
ACT_INST_001_000145,STU_INST_001_0129,Dance,Advanced,2024-09-18,Excellent,State Level Qualifier,70,Aarav Suthar
ACT_INST_001_000146,STU_INST_001_0129,Cultural Committee,Advanced,2024-12-29,Needs Improvement,,73,Meera Jadhav
ACT_INST_001_000147,STU_INST_001_0129,Debate,Beginner,2025-08-15,Average,,74,Riyansh Agarwal
ACT_INST_001_000148,STU_INST_001_0131,Football,Advanced,2024-11-07,Average,,85,Akash Goel
ACT_INST_001_000149,STU_INST_001_0131,Football,Advanced,2024-12-17,Very Good,District Level Participant,80,Vihaan Jadhav
ACT_INST_001_000150,STU_INST_001_0131,Music,Beginner,2025-01-04,Average,,90,Nidhi Kumar
ACT_INST_001_000151,STU_INST_001_0132,Table Tennis,Beginner,2025-05-30,Excellent,,85,Preeti Sharma
ACT_INST_001_000152,STU_INST_001_0132,Art & Craft,Intermediate,2025-06-28,Very Good,,73,Riya Singhal
ACT_INST_001_000153,STU_INST_001_0133,Science Club,Advanced,2025-07-17,Excellent,,92,Ravi Singh
ACT_INST_001_000154,STU_INST_001_0133,Table Tennis,Advanced,2025-01-31,Average,,95,Ravi Reddy
ACT_INST_001_000155,STU_INST_001_0133,Environmental Club,Beginner,2024-12-06,Good,,71,Arjit Suthar
ACT_INST_001_000156,STU_INST_001_0134,Environmental Club,Intermediate,2025-03-04,Excellent,,80,Karan Agarwal
ACT_INST_001_000157,STU_INST_001_0134,Dance,Intermediate,2025-03-12,Very Good,State Level Qualifier,92,Advik Patil
ACT_INST_001_000158,STU_INST_001_0136,Basketball,Beginner,2024-11-04,Very Good,School Level Winner,94,Shreya Chaturvedi
ACT_INST_001_000159,STU_INST_001_0136,Art & Craft,Beginner,2025-02-28,Good,,71,Arya Bansal
ACT_INST_001_000160,STU_INST_001_0137,Debate,Advanced,2025-06-23,Average,,90,Veer Chakraborty
ACT_INST_001_000161,STU_INST_001_0137,Literary Society,Intermediate,2024-12-28,Excellent,,100,Harsh Shah
ACT_INST_001_000162,STU_INST_001_0138,Dance,Beginner,2025-05-04,Needs Improvement,,89,Aditi Mitra
ACT_INST_001_000163,STU_INST_001_0138,Drama,Intermediate,2025-07-30,Good,State Level Qualifier,93,Sai Goel
ACT_INST_001_000164,STU_INST_001_0139,Yoga,Advanced,2025-06-18,Very Good,District Level Participant,99,Sai Mathur
ACT_INST_001_000165,STU_INST_001_0139,Science Club,Advanced,2025-06-25,Good,,76,Nidhi Bansal
ACT_INST_001_000166,STU_INST_001_0141,Athletics,Beginner,2025-02-25,Very Good,,86,Riyansh Joshi
ACT_INST_001_000167,STU_INST_001_0141,Yoga,Advanced,2024-10-08,Very Good,Certificate of Participation,99,Manisha Mukherjee
ACT_INST_001_000168,STU_INST_001_0141,Badminton,Intermediate,2025-03-03,Needs Improvement,,71,Vihaan Jadhav
ACT_INST_001_000169,STU_INST_001_0142,Literary Society,Beginner,2025-07-20,Very Good,District Level Participant,81,Deepika Malhotra
ACT_INST_001_000170,STU_INST_001_0142,Yoga,Intermediate,2024-11-22,Excellent,School Level Winner,96,Yogesh Singh
ACT_INST_001_000171,STU_INST_001_0142,Table Tennis,Intermediate,2024-09-26,Excellent,School Level Winner,75,Swati Ganguly
ACT_INST_001_000172,STU_INST_001_0143,Basketball,Intermediate,2024-12-31,Excellent,,87,Aarohi Patil
ACT_INST_001_000173,STU_INST_001_0143,Music,Advanced,2025-08-10,Very Good,,100,Shalini Chopra
ACT_INST_001_000174,STU_INST_001_0143,Music,Advanced,2025-02-16,Needs Improvement,District Level Participant,70,Vikram Singh
ACT_INST_001_000175,STU_INST_001_0145,Basketball,Beginner,2024-10-19,Average,,80,Myra Verma
ACT_INST_001_000176,STU_INST_001_0145,Football,Intermediate,2025-03-26,Excellent,,94,Rahul Pillai
ACT_INST_001_000177,STU_INST_001_0145,Literary Society,Intermediate,2024-11-05,Good,Certificate of Participation,85,Shaurya Gupta
ACT_INST_001_000178,STU_INST_001_0147,Basketball,Advanced,2024-11-11,Excellent,,83,Laksh Mitra
ACT_INST_001_000179,STU_INST_001_0149,Environmental Club,Beginner,2024-11-17,Needs Improvement,,95,Aarohi Deshpande
ACT_INST_001_000180,STU_INST_001_0150,Quiz,Advanced,2025-05-24,Excellent,,94,Nidhi Srivastava
ACT_INST_001_000181,STU_INST_001_0150,Debate,Beginner,2024-11-07,Very Good,State Level Qualifier,98,Sara Goyal
ACT_INST_001_000182,STU_INST_001_0154,Quiz,Advanced,2025-04-23,Average,,88,Rajesh Reddy
ACT_INST_001_000183,STU_INST_001_0154,Cricket,Intermediate,2025-03-23,Good,State Level Qualifier,100,Preeti Raman
ACT_INST_001_000184,STU_INST_001_0154,Football,Intermediate,2024-09-30,Excellent,,70,Vivaan Tiwari
ACT_INST_001_000185,STU_INST_001_0158,Quiz,Intermediate,2025-02-13,Average,,79,Kiara Das
ACT_INST_001_000186,STU_INST_001_0159,Football,Intermediate,2024-12-08,Needs Improvement,State Level Qualifier,83,Arjun Chopra
ACT_INST_001_000187,STU_INST_001_0159,Science Club,Beginner,2024-12-18,Very Good,,82,Sapna Chakraborty
ACT_INST_001_000188,STU_INST_001_0164,Environmental Club,Beginner,2024-11-04,Excellent,,91,Khushi Saha
ACT_INST_001_000189,STU_INST_001_0164,Environmental Club,Advanced,2024-11-09,Needs Improvement,,95,Laksh Mehta
ACT_INST_001_000190,STU_INST_001_0165,Table Tennis,Advanced,2025-04-20,Good,,96,Ankit Mitra
ACT_INST_001_000191,STU_INST_001_0166,Athletics,Advanced,2025-06-29,Good,,98,Saanvi Trivedi
ACT_INST_001_000192,STU_INST_001_0166,Athletics,Beginner,2024-11-18,Good,,75,Samar Chaturvedi
ACT_INST_001_000193,STU_INST_001_0166,Karate,Beginner,2025-02-09,Excellent,,79,Dev Saha
ACT_INST_001_000194,STU_INST_001_0169,Yoga,Advanced,2025-04-08,Good,,71,Kavita Sen
ACT_INST_001_000195,STU_INST_001_0172,Basketball,Advanced,2025-01-21,Excellent,,93,Vivaan More
ACT_INST_001_000196,STU_INST_001_0172,Badminton,Advanced,2024-10-14,Excellent,,87,Shreya Saha
ACT_INST_001_000197,STU_INST_001_0173,Dance,Advanced,2025-02-17,Average,,93,Rahul Biswas
ACT_INST_001_000198,STU_INST_001_0174,Table Tennis,Beginner,2025-06-30,Excellent,,75,Pooja Krishnan
ACT_INST_001_000199,STU_INST_001_0176,Badminton,Advanced,2025-05-28,Excellent,District Level Participant,92,Reyansh Kumar
ACT_INST_001_000200,STU_INST_001_0179,Badminton,Advanced,2024-10-13,Excellent,,70,Laksh Bose
ACT_INST_001_000201,STU_INST_001_0179,Badminton,Beginner,2025-03-20,Excellent,,87,Yogesh Menon
ACT_INST_001_000202,STU_INST_001_0181,Cricket,Intermediate,2025-05-14,Excellent,,89,Sara Mukherjee
ACT_INST_001_000203,STU_INST_001_0184,Literary Society,Beginner,2025-04-30,Average,,71,Manisha Mandal
ACT_INST_001_000204,STU_INST_001_0184,Yoga,Intermediate,2025-07-25,Good,,72,Shriya Kumar
ACT_INST_001_000205,STU_INST_001_0185,Badminton,Advanced,2025-02-13,Excellent,,77,Sunita Kapoor
ACT_INST_001_000206,STU_INST_001_0185,Music,Beginner,2025-07-09,Very Good,,88,Divya Singh
ACT_INST_001_000207,STU_INST_001_0187,Dance,Beginner,2025-05-25,Very Good,,72,Sapna Bhardwaj
ACT_INST_001_000208,STU_INST_001_0187,Badminton,Advanced,2024-10-01,Very Good,School Level Winner,76,Laksh Chopra
ACT_INST_001_000209,STU_INST_001_0187,Music,Intermediate,2025-01-13,Very Good,,100,Ananya Singhal
ACT_INST_001_000210,STU_INST_001_0188,Cultural Committee,Beginner,2025-01-13,Excellent,,88,Preeti Mishra
ACT_INST_001_000211,STU_INST_001_0189,Football,Intermediate,2025-01-05,Average,,72,Sunita Aggarwal
ACT_INST_001_000212,STU_INST_001_0189,Science Club,Intermediate,2025-01-31,Excellent,Certificate of Participation,88,Vivaan Goel
ACT_INST_001_000213,STU_INST_001_0189,Environmental Club,Advanced,2024-10-29,Excellent,,83,Vihaan Ganguly
ACT_INST_001_000214,STU_INST_001_0194,Drama,Beginner,2025-05-14,Average,District Level Participant,72,Vivaan More
ACT_INST_001_000215,STU_INST_001_0196,Athletics,Intermediate,2025-06-23,Excellent,,85,Reyansh Sarkar
ACT_INST_001_000216,STU_INST_001_0197,Badminton,Intermediate,2025-08-07,Needs Improvement,,94,Veer Bose
ACT_INST_001_000217,STU_INST_001_0197,Karate,Advanced,2024-12-22,Average,State Level Qualifier,77,Nidhi Bhattacharya
ACT_INST_001_000218,STU_INST_001_0197,Athletics,Advanced,2024-12-17,Excellent,,74,Sara Kale
ACT_INST_001_000219,STU_INST_001_0200,Cricket,Intermediate,2025-01-27,Good,School Level Winner,79,Vikram Bansal
ACT_INST_001_000220,STU_INST_001_0200,Karate,Intermediate,2025-01-01,Needs Improvement,,74,Sapna Chakraborty
ACT_INST_001_000221,STU_INST_001_0200,Environmental Club,Beginner,2025-06-06,Needs Improvement,School Level Winner,91,Amit Menon
ACT_INST_001_000222,STU_INST_001_0201,Art & Craft,Intermediate,2025-06-06,Excellent,,90,Isha Aggarwal
ACT_INST_001_000223,STU_INST_001_0201,Debate,Advanced,2024-12-26,Excellent,,94,Veer Bhattacharya
ACT_INST_001_000224,STU_INST_001_0201,Yoga,Intermediate,2025-04-15,Needs Improvement,,92,Anjali Shukla
ACT_INST_001_000225,STU_INST_001_0202,Literary Society,Beginner,2025-04-22,Average,State Level Qualifier,83,Priya Bhattacharya
ACT_INST_001_000226,STU_INST_001_0203,Quiz,Beginner,2025-03-25,Needs Improvement,,95,Saanvi Modi
ACT_INST_001_000227,STU_INST_001_0204,Literary Society,Intermediate,2025-01-28,Excellent,,81,Deepak Shah
ACT_INST_001_000228,STU_INST_001_0204,Athletics,Intermediate,2024-12-02,Excellent,,75,Yash Mitra
ACT_INST_001_000229,STU_INST_001_0208,Art & Craft,Advanced,2025-07-02,Good,School Level Winner,80,Reyansh Joshi
ACT_INST_001_000230,STU_INST_001_0208,Environmental Club,Beginner,2024-11-13,Good,,96,Atharv More
ACT_INST_001_000231,STU_INST_001_0208,Science Club,Advanced,2025-01-10,Excellent,,83,Advik Mittal
ACT_INST_001_000232,STU_INST_001_0210,Karate,Advanced,2025-03-22,Excellent,,94,Kavita Das
ACT_INST_001_000233,STU_INST_001_0213,Quiz,Beginner,2025-04-14,Average,School Level Winner,81,Atharv Raman
ACT_INST_001_000234,STU_INST_001_0213,Badminton,Intermediate,2025-01-05,Very Good,,70,Sanjay Raman
ACT_INST_001_000235,STU_INST_001_0214,Table Tennis,Advanced,2025-03-24,Very Good,,95,Deepika Subramanian
ACT_INST_001_000236,STU_INST_001_0214,Karate,Advanced,2024-10-15,Excellent,,87,Varun Pawar
